Material,Density (g/cm^3),Energy (MJ/kg),Pressure (GPa),Resistivity (10^-6 Ohm.m),Temperature (K)
Al,0.1,29,0.29,45.9,17320
Al,0.1,30,0.35,44.5,17760
Al,0.1,32,0.4,42.8,18630
Al,0.1,34,0.44,40.9,19500
Al,0.1,36,0.47,40,20370
Al,0.1,38,0.51,38.9,21250
Al,0.1,40,0.55,36.9,22120
Al,0.1,41,0.6,35.8,22550
Al,0.1,43,0.66,34.6,23420
Al,0.1,45,0.69,32.4,24300
Al,0.1,47,0.76,31.4,25170
Al,0.1,49,0.8,30.4,26040
Al,0.3,20,0.86,26,14000
Al,0.3,20.9,0.93,24.5,14520
Al,0.3,21.5,0.98,23.7,14950
Al,0.3,22.1,1.02,23,15330
Al,0.3,22.6,1.09,22.4,15650
Al,0.3,23.1,1.13,21.9,15980
Ni,0.1,14,0.17,31,12730
Ni,0.1,15,0.19,30,13700
Ni,0.1,16,0.21,29,14670
Ni,0.1,17,0.23,27.7,15640
Ni,0.1,18,0.26,26.5,16620
Ni,0.1,19,0.27,25.5,17590
Ni,0.1,20,0.29,24.5,18560
Ni,0.1,21,0.3,23.7,19530
Ni,0.1,22,0.33,22.5,20500
Ni,0.1,23,0.36,21.4,21470
Ni,0.1,24,0.45,21.1,22440
Ni,0.1,25,0.43,20.6,23420
Ni,0.1,26,0.47,20.2,24390
Ti,0.2,19.5,0.4,35,13600
Ti,0.2,22.5,0.5,32,16960
Ti,0.2,23.7,0.6,30.7,18300
Ti,0.2,25.9,0.7,29,20760
Ti,0.2,27.2,0.8,27.5,22200
Ti,0.2,28.6,0.9,26,23800
Ti,0.2,29,1,24.5,25200
Ti,0.2,31.8,1.1,23.2,27350
Ti,0.2,33.5,1.2,22,29250
Ti,0.2,34.5,1.3,21.2,30360
Ti,0.2,35,1.4,20.5,30920
Cu,0.3,11.63,0.44,69,13790
Cu,0.3,12,0.45,62,14220
Cu,0.3,12.34,0.47,62.3,14620
Cu,0.3,12.5,0.49,56.7,14810
Cu,0.3,12.7,0.5,54.9,15040
Cu,0.3,13.24,0.52,50.7,15670
Cu,0.3,13.58,0.51,48,16070
Cu,0.3,13.84,0.53,46,16370
Cu,0.3,14.29,0.52,43.5,16900
Cu,0.3,14.71,0.58,41.1,17400
Cu,0.3,14.98,0.55,38.4,17710
Cu,0.3,15.15,0.55,39.3,17910
Cu,0.3,15.58,0.58,36.8,18410
Cu,0.3,15.5,0.58,38.4,18320
Cu,0.3,15.67,0.6,37.6,18520
Cu,0.3,15.75,0.6,38.7,18610
Cu,0.3,15.91,0.62,37.4,18790
Cu,0.3,16,0.66,35,18900
Cu,0.3,16.16,0.67,35.5,19090
Cu,0.3,16.24,0.68,36.2,19180
Cu,0.3,16.41,0.7,34.4,19380
Cu,0.3,16.49,0.68,33.9,19480
Cu,0.3,16.57,0.68,34.4,19570
Cu,0.3,16.9,0.72,33.4,19960
Cu,0.3,16.98,0.74,32.8,20050
Cu,0.3,17.07,0.75,32.7,20150
Cu,0.3,17.23,0.76,32.3,20340
Cu,0.3,17.4,0.78,32.1,20540
Cu,0.5,13.5,0.95,44.5,17080
Cu,0.5,13.87,0.98,43.3,17520
Cu,0.5,14.25,1,42.4,17980
Cu,0.5,14.63,1.03,42.2,18430
Cu,0.5,15,1.05,41.8,18870
Cu,0.5,15.38,1.07,41.1,19320
Cu,0.5,15.76,1.1,39.9,19780
Cu,0.5,16.14,1.13,38.8,20230
Cu,0.5,16.52,1.18,37.5,20680
Cu,0.5,16.9,1.24,35,21130
Ag,0.43,11.2,0.704,30.4,21290
Ag,0.43,11.5,0.729,30.2,21720
Ag,0.43,12,0.765,29.6,22430
Ag,0.43,12.5,0.784,29.1,23150
Ag,0.43,13,0.831,28.5,23870
Ag,0.43,13.5,0.855,27.9,24580
Ag,0.43,14,0.909,27.4,25300
Ag,0.43,14.5,0.961,27.2,26010
Ag,0.43,15,0.98,26.8,26730
Ag,0.43,15.5,1.01,26.8,27450
Ag,0.43,15.8,1.02,26.6,27880
Au,0.5,6.5,0.45,45.1,20570
Au,0.5,7,0.5,40,21630
Au,0.5,7.5,0.57,37,22700
Au,0.5,8,0.67,29.5,23760
Au,0.5,8.5,0.7,29,24830
Au,0.5,9,0.79,28.5,25890
Au,0.5,9.5,0.82,28.1,26960
Au,0.5,9.8,0.87,34,27890
Au,0.5,10,0.9,27.5,28020
Au,0.5,10.2,0.91,31.5,28550
Au,0.5,10.5,0.94,26.5,29090
Au,0.5,10.8,0.98,28.5,29620
Au,0.5,11,1.02,25.5,30150
Au,0.5,11.5,1.08,24.5,31220
Si,0.21,24.4,0.588,141.6,14480
Si,0.21,25,0.605,142.5,14870
Si,0.21,26,0.628,126.1,15530
Si,0.21,27,0.66,123.8,16180
Si,0.21,28,0.693,119.8,16830
Si,0.21,29,0.731,97.9,17500
Si,0.21,30,0.775.,99.3,18420
Si,0.21,30,0.785,66.7,18420
Si,0.21,31,0.828,66.6,18800
Si,0.21,31,0.820.,93.5,18800
Si,0.21,32,0.873,70,19450
Si,0.21,32,0.868,66.1,19450
Si,0.21,33,0.92,65.2,20105
Si,0.21,33,0.926,66,20105
B,0.094,90,1.23,62.3,17750
B,0.094,91,1.25,620,18000
B,0.094,92,1.26,61.5,18250
B,0.094,93,1.28,61,18500
B,0.094,94,1.31,60.6,18750
B,0.094,95,1.36,60.2,19000
B,0.094,96,1.36,59.7,19250
B,0.094,97,1.38,58.5,19500
B,0.094,98,1.39,57.2,19750
B,0.094,99,1.41,55.6,20000
B,0.094,100,1.43,54.8,20260
B,0.094,101,1.44,54.1,20500
B,0.094,102,1.43,52.8,20760
B,0.094,103,1.4,51.5,21000
B,0.094,104,1.47,50.7,21260
B,0.094,105,1.49,49.2,21500
B,0.094,106,1.5,48,21760
B,0.094,107,1.525,47.2,22000
B,0.094,108,1.545,46.4,22260
B,0.094,109,1.565,46,22500
B,0.094,110,1.573,45.3,22760
B,0.094,111,1.576,44.4,23000
