T(K),log10(rho),log10(con),Z
6000,0.0938278,5.66955,1.72306
10000,-0.130498,5.09673,1.38434
10000,-0.302135,4.66938,1.16365
8000,-0.565,4.02305,0.881093
6000,-0.764547,3.35545,0.703443
4000,0.17492,5.76399,1.87024
6000,0.00728678,5.42143,1.56567
8000,-0.318813,4.73223,1.1178
8000,-0.477269,4.36389,0.955258
6000,0.120212,5.69874,1.77374
10000,-0.0685421,5.33799,1.47672
12000,-0.235854,5.00803,1.26692
16000,-0.418984,4.66785,1.13125
18000,-0.581483,4.45731,1.04676
20000,-0.736695,4.33068,1.00939
22000,-0.889916,4.25722,1.00658
22000,-1.04043,4.2385,0.986471
22000,-1.19328,4.20238,0.981628
22000,-1.344,4.2158,0.988629
24000,-1.49444,4.24438,1.05722
26000,-1.64455,4.29859,1.13596
4000,0.19223,5.87909,1.90629
8000,-0.0307006,5.41082,1.51871
12000,-0.215098,5.00934,1.2926
14000,-0.387492,4.67303,1.13027
16000,-0.564825,4.39431,1.02279
16000,-0.715254,4.23676,0.941139
16000,-0.867196,4.11109,0.884984
16000,-1.02018,4.04462,0.850256
16000,-1.1725,3.97377,0.832909
16000,-1.32367,3.99765,0.828857
18000,-1.50432,4.07828,0.895117
18000,-1.65541,4.13539,0.912803
18000,-1.81192,4.21643,0.936696
6000,0.105047,5.6509,1.74445
8000,-0.0587073,5.32344,1.47337
12000,-0.223829,4.98953,1.2817
14000,-0.43659,4.58194,1.08628
14000,-0.597154,4.34151,0.967299
14000,-0.943438,4.00971,0.818775
14000,-1.09642,3.93566,0.788905
14000,-1.24665,3.90042,0.774841
14000,-1.3974,3.91089,0.772467
16000,-1.54775,3.96755,0.840512
18000,-1.69832,3.93757,0.918852
18000,-1.84863,3.94758,0.942971
4000,0.19619,5.87484,1.91461
8000,-0.00688134,5.4454,1.55839
12000,-0.185606,5.07465,1.33037
14000,-0.337034,4.76142,1.17946
16000,-0.496454,4.4899,1.06978
18000,-0.657124,4.27126,1.00614
18000,-0.809865,4.14925,0.944768
18000,-0.963092,4.05158,0.906654
18000,-1.11509,3.99537,0.88731
18000,-1.26568,3.9489,0.882238
20000,-1.41737,4.02366,0.942506
22000,-1.56783,4.02776,1.01473
24000,-1.71828,4.05392,1.09635
24000,-1.8687,4.02572,1.12844
6000,0.116202,5.71643,1.76596
10000,-0.0988251,5.27409,1.4307
12000,-0.255832,4.93523,1.24292
14000,-0.412435,4.65871,1.10745
16000,-0.567736,4.43602,1.02093
18000,-0.726096,4.27351,0.975212
18000,-0.877915,4.17359,0.925239
18000,-1.02854,4.08768,0.896327
18000,-1.17973,4.07041,0.883624
18000,-1.33189,4.06405,0.883573
20000,-1.48346,4.13982,0.948978
22000,-1.6347,4.18316,1.0253
22000,-1.78542,4.10479,1.05272
4000,0.188824,5.80667,1.89915
6000,0.0365091,5.53572,1.6173
10000,-0.205359,5.05855,1.28185
12000,-0.356084,4.74579,1.13258
12000,-0.509171,4.40921,0.994865
12000,-0.7648,3.93298,0.837186
12000,-0.915209,3.62397,0.77929
10000,-1.11856,3.37033,0.677027
10000,-1.26994,3.34635,0.655915
10000,-1.56225,3.4143,0.647014
12000,-1.76321,3.71341,0.730668
4000,0.191429,5.84624,1.90461
8000,-0.0568271,5.33219,1.47637
10000,-0.22075,4.98566,1.26198
12000,-0.377392,4.67222,1.11125
12000,-0.780389,3.97304,0.83011
12000,-0.932371,3.69975,0.77406
10000,-1.16399,3.5193,0.669221
10000,-1.31515,3.41581,0.652106
10000,-1.46585,3.54283,0.646196
12000,-1.69529,3.736,0.724381
12000,-1.84558,3.96703,0.739564
4000,0.174752,5.82989,1.86989
6000,0.00789707,5.48233,1.56673
8000,-0.149041,5.11921,1.33667
10000,-0.312471,4.73501,1.15195
10000,-0.462622,4.38596,1.0011
10000,-0.624245,4.11341,0.875709
10000,-0.777648,3.79358,0.787679
10000,-1.31435,3.60271,0.652165
12000,-1.46521,3.77422,0.712009
16000,-1.6169,4.0271,0.847341
20000,-1.76828,4.20008,0.990455
24000,-1.91865,4.27492,1.13991
26000,-2.06905,4.36672,1.23666
6000,0.0542951,5.55785,1.64948
8000,-0.127768,5.1653,1.36756
10000,-0.294975,4.78422,1.17185
10000,-0.449735,4.45868,1.01269
10000,-0.59998,4.16548,0.892275
10000,-0.762029,3.88868,0.795396
10000,-1.31957,3.5523,0.651789
12000,-1.47057,3.78633,0.712109
16000,-1.62106,4.03391,0.847792
20000,-1.77134,4.21245,0.990999
24000,-1.92154,4.29546,1.14059
24000,-2.0716,4.40298,1.17716
6000,0.0787214,5.57704,1.69461
8000,-0.0734878,5.23738,1.45001
10000,-0.236797,4.88338,1.24171
12000,-1.21007,3.86906,0.721155
14000,-1.36181,4.0639,0.772126
18000,-1.51385,4.15851,0.896047
22000,-1.66394,4.31029,1.03025
24000,-1.81446,4.42366,1.11642
26000,-1.96497,4.50169,1.20948
26000,-2.1152,4.54919,1.24913
6000,0.0595293,5.54899,1.65906
8000,-0.0910273,5.22786,1.42279
10000,-0.250921,4.86928,1.22423
10000,-0.796478,3.92911,0.778727
10000,-0.948925,3.7759,0.719382
10000,-1.09991,3.72973,0.680631
12000,-1.29835,3.81305,0.714568
14000,-1.45075,3.97887,0.773899
20000,-1.60154,4.14016,0.963786
24000,-1.75227,4.29783,1.10325
26000,-1.9024,4.36892,1.19382
26000,-2.05306,4.4143,1.2324
26000,-2.20343,4.61085,1.27362
6000,0.0787576,5.60847,1.69467
8000,-0.0808016,5.27809,1.43859
10000,-0.252045,4.91816,1.22285
12000,-0.41248,4.61349,1.07768
12000,-0.572141,4.3668,0.948181
12000,-0.737003,4.15381,0.850466
12000,-0.890152,4.02164,0.787403
12000,-1.04571,3.993,0.745727
14000,-1.21968,4.00527,0.776415
16000,-1.37253,4.07335,0.829816
20000,-1.52273,4.19407,0.953471
24000,-1.67407,4.26522,1.08772
28000,-1.8242,4.32395,1.23019
30000,-1.97469,4.27293,1.32523
