T(K),log10(rho),log10(con),Z
6000,0.64422,5.95804,3.09667
8000,0.491743,5.67963,2.59626
10000,0.36587,5.46359,2.25608
12000,0.202142,5.19307,1.8957
14000,0.0276594,4.88891,1.61042
16000,-0.135988,4.62651,1.42948
16000,-0.563726,4.13453,1.12225
16000,-0.71424,4.06296,1.07734
16000,-0.866461,4.07427,1.05451
18000,-1.01886,4.17898,1.11786
20000,-1.13484,4.30767,1.19481
22000,-1.22163,4.41123,1.2753
24000,-1.29551,4.50263,1.35713
26000,-1.38195,4.58032,1.44489
28000,-1.46243,4.62488,1.53419
30000,-1.54212,4.65097,1.62586
32000,-1.60607,4.65371,1.71415
34000,-1.67448,4.64298,1.80558
34000,-1.79453,4.60816,1.85446
4000,0.739236,6.17475,3.45136
6000,0.516578,5.6967,2.65603
8000,0.134282,4.8011,1.69915
10000,-0.0606455,4.34412,1.40629
10000,-0.212334,4.11046,1.21722
10000,-0.367168,3.84004,1.07217
10000,-0.521159,3.5382,0.968079
10000,0.379177,5.27776,2.29147
12000,0.252792,5.07763,2.0051
14000,0.0353136,4.67823,1.6224
16000,-0.175438,4.3412,1.38698
18000,-0.723561,4.06904,1.13565
18000,-0.874681,4.02914,1.11862
20000,-1.02738,4.14628,1.18468
22000,-1.12321,4.20833,1.25989
24000,-1.21247,4.27891,1.33993
26000,-1.30469,4.344,1.42525
28000,-1.38479,4.39291,1.51137
30000,-1.45284,4.41929,1.59652
32000,-1.51018,4.42144,1.67979
34000,-1.56607,4.44282,1.76366
36000,-1.62306,4.41389,1.84903
38000,-1.66615,4.43481,1.92956
40000,-1.70333,4.44412,2.00789
42000,-1.76574,4.43881,2.09832
6000,0.626177,5.69661,3.03073
8000,0.462062,5.42574,2.50573
10000,0.279496,5.07331,2.04051
12000,0.10998,4.78729,1.71619
12000,-0.664683,3.20817,0.966146
12000,-0.817158,3.29425,0.925884
14000,-1.09002,3.65157,0.97771
16000,-1.19172,3.82465,1.0588
18000,-1.26249,3.92205,1.14138
20000,-1.32661,4.01953,1.22486
22000,-1.38955,4.07496,1.30949
24000,-1.45014,4.14408,1.39477
26000,-1.52827,4.21809,1.48637
28000,-1.6258,4.2334,1.58669
4000,0.774667,6.26063,3.59808
6000,0.627024,5.92771,3.0338
8000,0.461164,5.63428,2.50304
10000,0.324608,5.39355,2.15008
12000,0.20505,5.17507,1.90177
14000,0.00496159,4.78414,1.57579
16000,-0.151331,4.48017,1.41255
16000,-0.558305,3.88281,1.12435
14000,-0.833836,3.55267,0.991703
12000,-1.18856,3.45728,0.902073
12000,-1.33885,3.48359,0.912393
6000,0.694536,6.07619,3.28705
8000,0.560104,5.82096,2.81677
10000,0.429888,5.58293,2.43186
12000,0.305214,5.36328,2.12678
14000,0.123829,5.01466,1.77239
16000,-0.0264427,4.72637,1.5661
18000,-0.149066,4.47823,1.45511
20000,-0.318704,4.18851,1.3512
20000,-0.473855,3.96284,1.26491
18000,-0.660608,3.69082,1.14881
16000,-0.886357,3.43696,1.05292
14000,-1.20315,3.40603,0.983236
14000,-1.3533,3.54432,0.998555
12000,-1.62233,3.46494,0.950785
4000,0.775533,6.2701,3.60173
6000,0.680166,6.03859,3.2317
8000,0.549903,5.78295,2.78278
10000,0.432431,5.57696,2.43913
12000,0.306607,5.35483,2.13013
14000,0.123927,5.00764,1.77256
16000,-0.0271494,4.71219,1.56512
18000,-0.150237,4.47441,1.45388
20000,-0.329698,4.1767,1.34379
18000,-0.639653,3.72811,1.1541
16000,-0.87296,3.41464,1.05396
14000,-1.16412,3.29732,0.980676
14000,-1.31453,3.42259,0.993843
12000,-1.62015,3.39217,0.950417
6000,0.681459,6.00745,3.23665
8000,0.511295,5.68216,2.65761
10000,0.36827,5.41693,2.26242
12000,0.245436,5.19233,1.98872
14000,-0.0228986,4.64298,1.53509
14000,-0.489991,3.65021,1.10006
4000,0.771079,6.22544,3.583
6000,0.666098,5.99596,3.17827
8000,0.509237,5.71153,2.65109
10000,0.356364,5.43706,2.23116
12000,0.2097,5.21002,1.91152
14000,-0.0904868,4.61997,1.44428
4000,0.775552,6.17131,3.60181
6000,0.664942,5.96472,3.17391
8000,0.489641,5.67969,2.58975
10000,0.329504,5.41596,2.16236
12000,0.177075,5.15925,1.84442
14000,-0.176389,4.50446,1.34409
14000,-0.521232,3.53769,1.08447
4000,0.774733,6.26036,3.59836
6000,0.678946,6.04053,3.22703
8000,0.543107,5.78618,2.76036
10000,0.401333,5.53611,2.35173
12000,0.265561,5.28475,2.03394
14000,0.0923381,4.96032,1.71656
16000,-0.0630492,4.63889,1.51728
18000,-0.210977,4.34663,1.39394
18000,-0.447697,3.9249,1.22703
6000,0.686631,5.99725,3.2565
8000,0.542863,5.73283,2.75955
10000,0.390057,5.47249,2.32086
12000,0.258362,5.24305,2.01762
14000,0.00123167,4.79237,1.57023
16000,-0.258336,4.30397,1.30827
16000,-0.411112,3.97424,1.19685
14000,-0.702765,3.33062,1.01813
6000,0.688584,6.03116,3.26402
8000,0.552744,5.77923,2.79221
10000,0.411897,5.55353,2.38105
12000,0.292502,5.35471,2.09646
14000,0.051789,4.95129,1.6487
16000,-0.118981,4.60334,1.44886
18000,-0.256663,4.2811,1.35384
18000,-0.521087,3.73368,1.19352
4000,0.774158,6.26377,3.59594
6000,0.676005,6.03587,3.21581
8000,0.515134,5.71152,2.66981
10000,0.368655,5.44863,2.26344
12000,0.21456,5.17132,1.92179
14000,0.00582374,4.75429,1.57708
16000,-0.242437,4.22614,1.3223
16000,-0.396726,3.90173,1.20565
4000,0.777074,6.28586,3.60823
8000,0.534068,5.76705,2.73079
10000,0.38047,5.5123,2.29495
12000,0.217337,5.21044,1.92769
14000,0.0124407,4.80618,1.58706
14000,-0.143918,4.46427,1.38004
16000,-0.297216,4.11797,1.27598
16000,-0.453655,3.76065,1.1727
4000,0.777643,6.25624,3.61063
6000,0.675986,6.03294,3.21574
8000,0.514375,5.74089,2.6674
10000,0.370437,5.48544,2.26816
12000,0.246496,5.26097,1.99107
14000,-0.000304111,4.77679,1.56795
16000,-0.217255,4.29259,1.34554
16000,-0.368171,3.99038,1.22411
4000,0.768516,6.14443,3.57227
6000,0.549211,5.87671,2.76302
8000,0.207562,5.25002,1.85062
10000,-0.00524307,4.80598,1.4885
10000,-0.542587,3.32243,0.956348
4000,0.766788,6.22371,3.56504
6000,0.58395,5.82754,2.88115
8000,0.269919,5.20407,1.99199
10000,0.0622886,4.63964,1.59911
10000,-0.256733,3.89137,1.17102
8000,-0.596674,3.23729,0.863997
6000,-0.892451,2.46687,0.675674
4000,0.769355,6.22043,3.57578
6000,0.59098,5.84175,2.9056
8000,0.285901,5.25967,2.03015
10000,0.0721322,4.75315,1.61623
4000,0.765677,6.19144,3.5604
6000,0.624054,5.89655,3.02305
8000,0.430164,5.51621,2.41188
10000,0.242964,5.14069,1.9565
12000,0.0831477,4.78717,1.66847
12000,-0.0677901,4.44671,1.43525
12000,-0.719649,3.36078,0.948995
12000,-0.871019,3.31513,0.916691
12000,-1.02255,3.22272,0.902288
14000,-1.28092,3.49374,0.990164
16000,-1.38018,3.72148,1.08329
18000,-1.47031,3.88041,1.17858
20000,-1.57971,4.06659,1.28152
20000,-1.73025,4.26202,1.32185
20000,-1.88041,4.28181,1.36584
18000,-2.03058,4.19243,1.32466
16000,-2.16813,4.06363,1.27201
4000,0.772632,6.23494,3.58953
6000,0.635949,5.92074,3.06629
8000,0.443438,5.552,2.45051
10000,0.253147,5.17472,1.9795
12000,0.0902157,4.81084,1.68084
12000,-0.816958,3.31785,0.925922
12000,-0.969158,3.20466,0.905604
14000,-1.26162,3.48116,0.988231
16000,-1.36845,3.70952,1.08143
