temperature,density,conductivity
6000,0.64422,5.95804
8000,0.491743,5.67963
10000,0.36587,5.46359
12000,0.202142,5.19307
14000,0.0276594,4.88891
16000,-0.135988,4.62651
16000,-0.563726,4.13453
16000,-0.71424,4.06296
16000,-0.866461,4.07427
18000,-1.01886,4.17898
20000,-1.13484,4.30767
22000,-1.22163,4.41123
24000,-1.29551,4.50263
26000,-1.38195,4.58032
28000,-1.46243,4.62488
30000,-1.54212,4.65097
32000,-1.60607,4.65371
34000,-1.67448,4.64298
34000,-1.79453,4.60816
4000,0.739236,6.17475
6000,0.516578,5.6967
8000,0.134282,4.8011
10000,-0.0606455,4.34412
10000,-0.212334,4.11046
10000,-0.367168,3.84004
10000,-0.521159,3.5382
10000,0.379177,5.27776
12000,0.252792,5.07763
14000,0.0353136,4.67823
16000,-0.175438,4.3412
18000,-0.723561,4.06904
18000,-0.874681,4.02914
20000,-1.02738,4.14628
22000,-1.12321,4.20833
24000,-1.21247,4.27891
26000,-1.30469,4.344
28000,-1.38479,4.39291
30000,-1.45284,4.41929
32000,-1.51018,4.42144
34000,-1.56607,4.44282
36000,-1.62306,4.41389
38000,-1.66615,4.43481
40000,-1.70333,4.44412
42000,-1.76574,4.43881
6000,0.626177,5.69661
8000,0.462062,5.42574
10000,0.279496,5.07331
12000,0.10998,4.78729
12000,-0.664683,3.20817
12000,-0.817158,3.29425
14000,-1.09002,3.65157
16000,-1.19172,3.82465
18000,-1.26249,3.92205
20000,-1.32661,4.01953
22000,-1.38955,4.07496
24000,-1.45014,4.14408
26000,-1.52827,4.21809
28000,-1.6258,4.2334
4000,0.774667,6.26063
6000,0.627024,5.92771
8000,0.461164,5.63428
10000,0.324608,5.39355
12000,0.20505,5.17507
14000,0.00496159,4.78414
16000,-0.151331,4.48017
16000,-0.558305,3.88281
14000,-0.833836,3.55267
12000,-1.18856,3.45728
12000,-1.33885,3.48359
6000,0.694536,6.07619
8000,0.560104,5.82096
10000,0.429888,5.58293
12000,0.305214,5.36328
14000,0.123829,5.01466
16000,-0.0264427,4.72637
18000,-0.149066,4.47823
20000,-0.318704,4.18851
20000,-0.473855,3.96284
18000,-0.660608,3.69082
16000,-0.886357,3.43696
14000,-1.20315,3.40603
14000,-1.3533,3.54432
12000,-1.62233,3.46494
4000,0.775533,6.2701
6000,0.680166,6.03859
8000,0.549903,5.78295
10000,0.432431,5.57696
12000,0.306607,5.35483
14000,0.123927,5.00764
16000,-0.0271494,4.71219
18000,-0.150237,4.47441
20000,-0.329698,4.1767
18000,-0.639653,3.72811
16000,-0.87296,3.41464
14000,-1.16412,3.29732
14000,-1.31453,3.42259
12000,-1.62015,3.39217
6000,0.681459,6.00745
8000,0.511295,5.68216
10000,0.36827,5.41693
12000,0.245436,5.19233
14000,-0.0228986,4.64298
14000,-0.489991,3.65021
4000,0.771079,6.22544
6000,0.666098,5.99596
8000,0.509237,5.71153
10000,0.356364,5.43706
12000,0.2097,5.21002
14000,-0.0904868,4.61997
4000,0.775552,6.17131
6000,0.664942,5.96472
8000,0.489641,5.67969
10000,0.329504,5.41596
12000,0.177075,5.15925
14000,-0.176389,4.50446
14000,-0.521232,3.53769
4000,0.774733,6.26036
6000,0.678946,6.04053
8000,0.543107,5.78618
10000,0.401333,5.53611
12000,0.265561,5.28475
14000,0.0923381,4.96032
16000,-0.0630492,4.63889
18000,-0.210977,4.34663
18000,-0.447697,3.9249
6000,0.686631,5.99725
8000,0.542863,5.73283
10000,0.390057,5.47249
12000,0.258362,5.24305
14000,0.00123167,4.79237
16000,-0.258336,4.30397
16000,-0.411112,3.97424
14000,-0.702765,3.33062
6000,0.688584,6.03116
8000,0.552744,5.77923
10000,0.411897,5.55353
12000,0.292502,5.35471
14000,0.051789,4.95129
16000,-0.118981,4.60334
18000,-0.256663,4.2811
18000,-0.521087,3.73368
4000,0.774158,6.26377
6000,0.676005,6.03587
8000,0.515134,5.71152
10000,0.368655,5.44863
12000,0.21456,5.17132
14000,0.00582374,4.75429
16000,-0.242437,4.22614
16000,-0.396726,3.90173
4000,0.777074,6.28586
8000,0.534068,5.76705
10000,0.38047,5.5123
12000,0.217337,5.21044
14000,0.0124407,4.80618
14000,-0.143918,4.46427
16000,-0.297216,4.11797
16000,-0.453655,3.76065
4000,0.777643,6.25624
6000,0.675986,6.03294
8000,0.514375,5.74089
10000,0.370437,5.48544
12000,0.246496,5.26097
14000,-0.000304111,4.77679
16000,-0.217255,4.29259
16000,-0.368171,3.99038
4000,0.768516,6.14443
6000,0.549211,5.87671
8000,0.207562,5.25002
10000,-0.00524307,4.80598
10000,-0.542587,3.32243
4000,0.766788,6.22371
6000,0.58395,5.82754
8000,0.269919,5.20407
10000,0.0622886,4.63964
10000,-0.256733,3.89137
8000,-0.596674,3.23729
6000,-0.892451,2.46687
4000,0.769355,6.22043
6000,0.59098,5.84175
8000,0.285901,5.25967
10000,0.0721322,4.75315
4000,0.765677,6.19144
6000,0.624054,5.89655
8000,0.430164,5.51621
10000,0.242964,5.14069
12000,0.0831477,4.78717
12000,-0.0677901,4.44671
12000,-0.719649,3.36078
12000,-0.871019,3.31513
12000,-1.02255,3.22272
14000,-1.28092,3.49374
16000,-1.38018,3.72148
18000,-1.47031,3.88041
20000,-1.57971,4.06659
20000,-1.73025,4.26202
20000,-1.88041,4.28181
18000,-2.03058,4.19243
16000,-2.16813,4.06363
4000,0.772632,6.23494
6000,0.635949,5.92074
8000,0.443438,5.552
10000,0.253147,5.17472
12000,0.0902157,4.81084
12000,-0.816958,3.31785
12000,-0.969158,3.20466
14000,-1.26162,3.48116
16000,-1.36845,3.70952
18000,-1.45655,3.85769
20000,-1.56273,4.00104
20000,-1.71287,4.23702
20000,-1.86328,4.28053
18000,-2.05208,4.21061
16000,-2.19179,4.05415
4000,0.774439,6.23696
6000,0.638523,5.92041
8000,0.445721,5.5436
10000,0.254807,5.16338
12000,0.0913152,4.79618
12000,-0.798384,3.37694
12000,-0.950743,3.28398
14000,-1.24474,3.5253
16000,-1.35892,3.72844
18000,-1.45259,3.90677
20000,-1.56352,4.02812
20000,-1.71399,4.26005
20000,-1.86455,4.29813
18000,-2.03858,4.19014
16000,-2.18177,4.09771
6000,0.669697,6.00826
8000,0.507108,5.65265
12000,0.229008,5.03106
8000,0.486083,5.62556
10000,0.315347,5.26264
12000,0.0754119,4.73509
10000,-0.171192,4.13656
4000,0.766984,6.20691
6000,0.593331,5.83244
8000,0.30547,5.30625
10000,0.0856009,4.87097
10000,-0.536062,3.59151
4000,0.757701,6.20544
6000,0.541857,5.75602
8000,0.173801,4.96103
8000,-0.513669,3.44154
4000,0.755074,6.20725
6000,0.532697,5.74267
8000,0.14664,4.89828
8000,-0.488906,3.53428
4000,0.752478,6.19344
6000,0.553695,5.77281
8000,0.200801,5.03715
10000,-0.0526839,4.39459
10000,-0.213561,4.08217
4000,0.753578,6.18788
6000,0.543864,5.76891
8000,0.170625,5.0065
10000,-0.0534691,4.44521
10000,-0.214627,4.10998
10000,-0.365694,3.79484
4000,0.755998,6.13344
6000,0.518943,5.76592
8000,-0.0558432,4.92906
10000,-0.209933,4.50048
12000,-0.41285,3.9555
12000,-0.564331,3.61658
4000,0.758267,6.20322
6000,0.536451,5.73627
8000,0.172886,4.9861
10000,-0.0517387,4.42788
10000,-0.213327,4.12385
10000,-0.364335,3.73902
4000,0.757763,6.20204
6000,0.54768,5.76546
8000,0.184816,5.05748
10000,-0.0163918,4.58748
10000,-0.528664,3.53084
10000,-0.678878,3.26905
4000,0.767304,6.25701
6000,0.561166,5.87279
8000,0.237144,5.10019
10000,-0.0305282,4.36093
8000,-0.405155,3.65456
4000,0.765843,6.13466
6000,0.571635,5.80591
8000,0.0690054,5.04177
10000,-0.132014,4.45712
4000,0.769088,6.22274
6000,0.589053,5.83089
8000,0.270849,5.16355
10000,0.0111177,4.45862
10000,-0.149531,4.11099
8000,-0.42143,3.52517
4000,0.767938,6.20398
6000,0.587938,5.83283
8000,0.274361,5.15456
10000,-0.00129177,4.39108
8000,-0.387852,3.55618
4000,0.763947,6.22996
6000,0.570982,5.78035
8000,0.208492,4.94215
8000,-0.242096,3.84745
4000,0.766647,6.1123
6000,0.561725,5.79163
4000,0.768352,6.16366
6000,0.545423,5.78082
4000,0.765335,6.15749
6000,0.551688,5.78269
4000,0.769918,6.23451
6000,0.599152,5.89431
8000,0.359179,5.4314
10000,0.168279,5.03774
12000,0.0149907,4.65187
12000,-0.144572,4.2668
12000,-0.296588,4.00488
12000,-0.455225,3.69487
12000,-0.607584,3.49693
4000,0.768994,6.19048
6000,0.616289,5.86096
8000,0.379487,5.41041
10000,0.194048,5.02679
12000,0.0336328,4.62802
12000,-0.118062,4.27191
12000,-0.27693,3.95885
12000,-0.431493,3.66332
12000,-0.582445,3.39881
10000,-0.847712,3.00775
4000,0.759452,6.22261
6000,0.571414,5.79802
8000,0.29313,5.20528
10000,0.0812501,4.70659
4000,0.754637,6.19788
6000,0.563825,5.76332
8000,0.241678,5.11303
10000,0.0175216,4.6004
10000,-0.526717,3.61268
10000,-0.679874,3.37051
4000,0.752739,6.2059
6000,0.526773,5.7082
4000,0.757863,6.13844
6000,0.513813,5.74147
8000,-0.152699,4.61032
8000,-0.500973,3.42226
4000,0.751935,6.2131
6000,0.534054,5.72876
8000,0.082649,4.62213
8000,-0.0786882,4.25037
6000,-0.49386,3.17782
4000,0.757541,6.16148
6000,0.526959,5.82747
8000,-0.0129552,4.93614
8000,-0.594671,3.27531
4000,0.751271,6.16267
6000,0.529439,5.7638
8000,-0.0408011,4.90403
10000,-0.238305,4.29226
10000,-0.394512,3.74068
4000,0.755056,6.21449
6000,0.553689,5.78071
8000,0.167438,4.88679
8000,-0.144263,4.08361
6000,-0.510337,3.31069
4000,0.761208,6.23753
6000,0.577145,5.80974
8000,0.27025,5.13851
8000,-0.348247,3.78831
4000,0.756397,6.22649
6000,0.567676,5.80334
8000,0.230278,5.08628
8000,-0.53334,3.49568
4000,0.748226,6.19738
6000,0.500232,5.6854
4000,0.74622,6.14446
6000,0.473789,5.6893
8000,-0.25168,4.22889
8000,-0.40179,3.50542
4000,0.744717,6.28581
6000,0.476198,5.77216
8000,-0.0140843,4.57323
8000,-0.16698,4.10554
4000,0.746572,6.22235
