T(K),log10(rho),log10(con),Z
4000,0.638678,5.58234,3.10885
6000,0.515918,5.51427,2.70207
8000,0.151143,5.15743,1.76898
10000,-0.183143,4.52532,1.26494
12000,-0.352402,4.24147,1.1378
14000,-0.523705,4.05123,1.07264
14000,-0.678816,3.93008,1.00714
16000,-0.981674,3.78455,1.01718
16000,-1.13295,3.80909,1.01795
18000,-1.28458,3.88857,1.10173
20000,-1.42481,3.99326,1.19564
22000,-1.55502,4.05373,1.29566
24000,-1.69897,4.08149,1.40609
24000,-1.84924,4.10758,1.45243
24000,-2.12494,4.07386,1.54583
22000,-2.27409,4.0774,1.51695
20000,-2.35853,4.03471,1.45926
18000,-2.44249,3.98173,1.39516
16000,-2.53462,3.91004,1.32646
4000,0.644448,5.59685,3.13001
6000,0.533004,5.53523,2.75746
8000,0.149625,5.1912,1.76587
10000,-0.183494,4.67252,1.26452
12000,-0.345621,4.32523,1.14348
14000,-0.465263,4.16788,1.10561
16000,-0.622348,3.97777,1.08288
18000,-1.21162,3.75815,1.09306
20000,-1.37779,3.82289,1.18665
22000,-1.50794,3.85382,1.28418
24000,-1.62489,3.89348,1.38467
26000,-1.7734,3.91036,1.50018
28000,-1.92518,3.91887,1.62365
28000,-2.0752,3.96052,1.68007
26000,-2.22768,4.03028,1.66278
24000,-2.31605,4.05941,1.61591
22000,-2.38405,4.04622,1.55642
20000,-2.44129,3.99856,1.48788
18000,-2.50864,3.91766,1.41709
4000,0.630038,5.58809,3.0774
6000,0.506332,5.49642,2.67143
8000,0.0179761,4.93334,1.519
10000,-0.283805,4.35361,1.15438
12000,-0.47277,4.05949,1.04977
14000,-0.870052,3.67815,0.962275
14000,-1.02365,3.53199,0.948007
16000,-1.30839,3.57623,1.03258
18000,-1.47782,3.68592,1.13326
20000,-1.60748,3.77474,1.23586
22000,-1.72377,3.81271,1.34056
24000,-1.85511,3.91025,1.45432
24000,-2.00524,3.94325,1.50408
24000,-2.15552,3.9914,1.55678
22000,-2.27409,4.00745,1.51695
20000,-2.34679,3.97946,1.45526
18000,-2.42481,3.90173,1.38937
16000,-2.51145,3.78873,1.31921
4000,0.63177,5.5656,3.08368
6000,0.49393,5.47916,2.63224
6000,0.340963,5.33871,2.19008
8000,-0.0187252,4.83485,1.45809
10000,-0.356429,4.16929,1.08659
12000,-0.657005,3.85028,0.956031
12000,-0.812338,3.60735,0.90802
14000,-1.25391,3.38934,0.952443
16000,-1.46916,3.57031,1.05558
18000,-1.60171,3.68895,1.15869
20000,-1.71489,3.75442,1.26282
22000,-1.82045,3.81037,1.36857
24000,-2.04818,3.93008,1.51886
22000,-2.1986,4.00376,1.49057
20000,-2.29585,3.9852,1.43803
18000,-2.383,3.91094,1.37579
16000,-2.47366,3.79372,1.30748
4000,0.640028,5.59298,3.11379
6000,0.404101,5.43907,2.36348
6000,0.250493,5.2765,1.96301
8000,-0.0508736,4.66479,1.40741
10000,-0.596982,3.87181,0.923325
10000,-0.747438,3.61815,0.86046
12000,-1.10519,3.31175,0.872809
12000,-1.25665,3.4603,0.874559
14000,-1.43192,3.62055,0.970905
16000,-1.59397,3.78025,1.07822
18000,-1.72793,3.8651,1.18787
20000,-1.86138,3.90189,1.30278
