T(K),log10(rho),log10(con),Z
6000,0.625887,5.72184,3.10517
8000,0.467205,5.59206,2.58641
10000,0.31039,5.39354,2.16877
12000,0.0638923,4.87754,1.67195
14000,-0.170053,4.39825,1.3719
14000,-0.326583,4.22329,1.21856
14000,-0.476865,4.07155,1.11338
14000,-0.636708,3.98168,1.03835
16000,-0.878309,3.95134,1.04562
16000,-1.03217,3.99229,1.03826
18000,-1.18243,4.04403,1.11578
20000,-1.33301,4.10667,1.20758
22000,-1.4832,4.19371,1.3105
26000,-1.63376,4.27807,1.49351
28000,-1.78383,4.3108,1.61394
28000,-1.93442,4.31033,1.6693
28000,-2.0846,4.2897,1.72769
24000,-2.23508,4.27012,1.62748
20000,-2.3851,4.1564,1.50729
6000,0.631939,5.72723,3.12746
8000,0.480585,5.59605,2.6279
10000,0.296898,5.37309,2.13506
12000,-0.00240831,4.71011,1.56162
14000,-0.31248,4.14897,1.23042
14000,-0.469993,3.95318,1.1174
14000,-0.623405,3.85327,1.04334
14000,-0.774406,3.77909,0.99815
14000,-0.929187,3.76886,0.974088
14000,-1.08255,3.80611,0.96727
16000,-1.23456,3.89304,1.04901
18000,-1.38616,3.98918,1.14435
22000,-1.53655,4.1036,1.32375
26000,-1.68698,4.21972,1.51039
28000,-1.83744,4.24383,1.63325
28000,-1.98801,4.24165,1.68979
26000,-2.13847,4.25161,1.6715
22000,-2.28904,4.17272,1.56243
20000,-2.44009,3.93762,1.52695
4000,0.729985,5.80651,3.49534
8000,0.483082,5.61094,2.63571
10000,0.289464,5.36471,2.11673
12000,-0.0584538,4.60149,1.47714
12000,-0.209968,4.2828,1.28575
12000,-0.656848,3.7102,0.970616
12000,-0.809752,3.61321,0.924655
14000,-1.07309,3.66361,0.967283
16000,-1.25964,3.78725,1.05161
18000,-1.41139,3.92598,1.14885
22000,-1.56177,4.1213,1.33025
24000,-1.71265,4.21635,1.44639
26000,-1.8636,4.2448,1.5699
26000,-2.01368,4.23442,1.62414
24000,-2.16431,4.2502,1.60091
22000,-2.31515,4.10449,1.57201
18000,-2.46597,3.86917,1.44018
4000,0.733035,5.80649,3.50781
8000,0.467687,5.576,2.58789
10000,0.242104,5.29873,2.00407
10000,0.0797166,4.96921,1.6688
12000,-0.170786,4.35576,1.33035
12000,-0.330014,4.02898,1.16838
12000,-0.481157,3.77517,1.0573
12000,-0.636294,3.60228,0.97872
12000,-1.01278,3.40483,0.895526
12000,-1.16374,3.55919,0.891423
14000,-1.31596,3.74414,0.98035
18000,-1.46635,3.98462,1.15924
22000,-1.61708,4.15097,1.34496
24000,-1.76777,4.23012,1.46365
26000,-1.91793,4.25892,1.58918
24000,-2.06803,4.26607,1.56569
22000,-2.21824,4.2222,1.53681
18000,-2.36856,4.04206,1.40745
4000,0.727402,5.79126,3.48482
6000,0.56916,5.6532,2.90272
8000,0.413625,5.52093,2.42649
10000,0.15842,5.15965,1.82174
10000,0.00293027,4.83516,1.53581
10000,-0.605076,3.48686,0.931138
4000,0.721206,5.77684,3.45966
6000,0.570207,5.6553,2.90635
8000,0.412989,5.5241,2.42465
10000,0.0706658,5.02247,1.65231
10000,-0.0795636,4.62008,1.40964
10000,-0.23004,4.19318,1.21995
10000,-0.38967,3.85052,1.06867
4000,0.736889,5.7957,3.52361
6000,0.582425,5.639,2.94901
8000,0.431681,5.51803,2.47928
8000,-0.688331,2.87274,0.827229
4000,0.735028,5.77893,3.51597
6000,0.580776,5.62218,2.94322
8000,0.402053,5.46653,2.39324
8000,0.245031,5.31124,1.98538
8000,-0.297363,3.87023,1.1018
8000,-0.448611,3.6218,0.968174
4000,0.721571,5.76417,3.46114
8000,0.426438,5.54849,2.46384
10000,0.167778,5.17788,1.8411
10000,0.00742767,4.75451,1.54318
10000,-0.144984,4.3273,1.32106
6000,0.617527,5.7448,3.07459
8000,0.462283,5.62905,2.57131
10000,0.307699,5.37073,2.162
12000,0.15506,4.93004,1.84324
12000,-0.305526,4.01267,1.19008
12000,-0.464465,3.95966,1.06776
12000,-0.618217,3.75853,0.986264
12000,-0.77142,3.6981,0.933971
14000,-0.961499,3.92881,0.971398
18000,-1.11999,4.20534,1.1103
22000,-1.27051,4.48511,1.26522
30000,-1.42228,4.64865,1.56097
38000,-1.57349,4.73017,1.85882
6000,0.618767,5.75351,3.07911
8000,0.452614,5.6063,2.54188
10000,0.300437,5.3119,2.14384
12000,0.141218,4.87041,1.81571
12000,-0.297061,3.91724,1.19784
12000,-0.448538,3.9344,1.07814
12000,-0.603888,3.7876,0.992528
12000,-0.756218,3.65935,0.938053
14000,-0.973998,3.86876,0.970549
16000,-1.12442,4.06145,1.04071
22000,-1.27654,4.32521,1.26631
28000,-1.42666,4.45445,1.49869
36000,-1.57889,4.55884,1.80038
42000,-1.72979,4.57381,2.0456
6000,0.622063,5.77786,3.09115
10000,0.373822,5.48367,2.33519
12000,0.212049,5.135,1.96251
14000,0.0578524,4.78391,1.69306
16000,-0.0997203,4.52822,1.49483
16000,-0.263508,4.4063,1.31808
16000,-0.418858,4.22183,1.19923
16000,-0.574841,4.16435,1.11889
16000,-0.734805,4.20211,1.06881
18000,-0.890455,4.23608,1.1081
20000,-1.04489,4.28934,1.17163
24000,-1.19915,4.40971,1.31795
30000,-1.35301,4.50232,1.54087
36000,-1.50446,4.58425,1.77241
4000,0.73416,5.76684,3.51241
6000,0.581086,5.63253,2.94431
8000,0.428893,5.50776,2.47106
10000,-1.37789,3.55895,0.815017
12000,-1.52871,3.90918,0.921721
16000,-1.67902,4.04088,1.12344
18000,-1.84224,4.15948,1.24813
4000,0.733636,5.77938,3.51027
6000,0.57828,5.63677,2.93448
8000,0.42526,5.51335,2.46038
10000,-0.000538866,4.81105,1.53017
10000,-0.156624,4.37862,1.30631
10000,-0.308194,4.08009,1.13998
10000,-0.466139,3.8408,1.01193
10000,-0.619355,3.63337,0.924302
10000,-0.773014,3.40586,0.865686
10000,-0.927272,3.18611,0.830179
10000,-1.07873,3.1116,0.812955
12000,-1.32048,3.47727,0.898732
14000,-1.4707,3.80536,1.00019
16000,-1.62142,4.00783,1.11105
18000,-1.77186,4.053,1.22952
20000,-1.92227,4.12616,1.35466
20000,-2.07263,4.13114,1.40154
18000,-2.2233,4.03427,1.36037
4000,0.733427,5.79564,3.50941
8000,0.467941,5.56491,2.58868
10000,0.174606,5.1819,1.85539
10000,0.0221396,4.84018,1.56763
12000,-0.332696,4.12359,1.16607
12000,-0.484471,3.9343,1.05527
12000,-0.642389,3.74586,0.976265
12000,-0.794336,3.63699,0.928237
12000,-0.945349,3.55315,0.901796
14000,-1.23381,3.68422,0.973091
16000,-1.40351,3.86853,1.07082
18000,-1.55486,4.02065,1.17759
20000,-1.70531,4.10302,1.29264
22000,-1.85543,4.17281,1.4148
22000,-2.00568,4.1817,1.46331
20000,-2.15614,4.15978,1.42876
18000,-2.30627,4.06722,1.38701
4000,0.725997,5.77359,3.4791
8000,0.479237,5.57371,2.62369
10000,0.225893,5.25194,1.96711
