T(K),log10(rho),log10(con),Z
8000,1.05871,5.7092,4.41011
12000,0.904007,5.54961,3.66357
14000,0.745367,5.36575,3.0424
14000,0.228541,4.51095,1.77716
14000,0.070806,4.23256,1.57986
14000,-0.0822583,4.02991,1.44684
14000,-0.232926,3.89221,1.36073
14000,-0.385567,3.82393,1.30901
14000,-0.537243,3.85703,1.28492
16000,-0.692825,4.00749,1.37946
18000,-0.844057,4.17389,1.49587
24000,-0.995034,4.25978,1.81704
28000,-1.14521,4.30263,2.05566
30000,-1.29585,4.31975,2.21616
30000,-1.44636,4.28988,2.29389
28000,-1.59654,4.2559,2.27736
6000,1.10899,5.68375,4.68543
10000,0.956113,5.54958,3.88636
12000,0.799794,5.39073,3.21692
14000,0.632502,5.2098,2.66596
14000,0.472762,5.02937,2.23735
14000,0.315605,4.84601,1.9174
14000,0.165134,4.63037,1.68963
14000,0.0143483,4.2748,1.52476
14000,-0.135928,3.93957,1.4116
14000,-0.2873,3.72949,1.33866
14000,-0.744293,3.73223,1.28435
16000,-0.895445,3.9102,1.40598
18000,-1.04648,4.0146,1.54323
20000,-1.19723,4.05584,1.69305
6000,1.11071,5.6736,4.69593
10000,0.956932,5.5482,3.89043
12000,0.800371,5.39485,3.21921
14000,0.555127,5.15186,2.44413
14000,0.39995,4.9892,2.07767
14000,-0.116276,4.13666,1.42388
14000,-0.267486,3.84819,1.3462
14000,-0.419486,3.70578,1.30152
14000,-0.737407,3.72827,1.28389
16000,-0.888267,3.87668,1.40468
18000,-1.03848,4.01695,1.54106
20000,-1.1893,4.06565,1.6903
20000,-1.3398,4.05888,1.74519
20000,-1.48999,4.11311,1.80511
20000,-1.64035,3.99476,1.86947
6000,1.11393,5.6731,4.71575
10000,0.961997,5.55811,3.91576
12000,0.807417,5.44084,3.2474
12000,-0.510703,3.63659,1.19229
12000,-0.661026,3.69425,1.17943
14000,-0.829621,3.86141,1.29233
16000,-0.980053,4.02107,1.42297
18000,-1.1303,4.08899,1.56726
20000,-1.28092,4.09587,1.72305
20000,-1.43098,4.08955,1.78101
20000,-1.58104,4.06446,1.8436
6000,1.11117,5.6948,4.69879
10000,0.958248,5.56677,3.897
12000,0.802328,5.40403,3.22701
