Sn,,In,,Zn,
Temperature (C),Resistivity x10^-6 ? cm,Temperature (C),Resistivity x10^-6 ? cm,Temperature (C),Resistivity x10^-6 ? cm
107.818774,15.11413385,99.49158259,11.10223911,101.0030872,7.713651419
120.2865461,15.78608359,111.3877233,12.04769411,111.8603361,8.137060805
130.0085608,16.6742684,121.6786932,12.68978537,120.9102737,8.467058881
145.1899761,17.45892341,131.3980318,13.60538188,132.0079324,8.753664662
161.9952953,18.3550603,142.2311951,14.27549653,139.9316457,8.991016049
173.8807313,19.41016208,152.2283208,15.1365755,152.1644494,9.278896201
185.2534119,20.13571182,159.5385651,15.61083224,165.9819958,9.61424663
197.737241,20.64319139,160.1123374,32.06029646,175.2723432,9.807441101
211.7968029,21.75556335,184.5458307,32.96499711,186.3610814,10.1854192
223.714353,22.48172479,204.107612,33.53525214,200.1786278,10.52076963
230.7066675,23.42167451,219.8606586,34.04640189,211.0447973,10.8528067
231.037443,25.61522186,237.7931835,34.55999843,224.185717,11.14170635
231.9708934,32.79892123,258.4527324,35.04924176,232.3364592,11.37931261
230.6231708,41.02181825,276.9113936,35.75533187,240.7142303,11.61717374
229.2336999,44.09070477,300.8374839,36.27565709,250.4541755,11.85656412
229.1427099,45.02270243,318.7646564,36.84407702,260.4166893,12.14189553
240.4779239,46.1320159,341.5849505,37.52764901,270.8377214,12.38205053
255.702158,46.47808378,366.0398532,38.2130561,279.2154926,12.61991167
271.4873187,46.66029319,386.1411517,38.83874621,289.6454453,12.76869435
285.1383177,47.30615658,401.8941983,39.34989596,301.65122,13.05631962
302.3568386,47.69101627,429.6236709,39.98414984,307.7631616,13.24594586
316.401414,48.02662158,449.7303217,40.55501657,317.9437838,13.62290446
326.8179858,48.31246274,467.6628466,41.06861311,326.5575046,13.76964815
338.6101124,48.46277466,489.4094585,41.58649153,333.3505331,13.96003901
354.9205174,48.84661486,500.0130059,41.8177132,344.9067102,14.20146838
363.9838359,49.03955446,529.0993001,42.50831972,357.5958021,14.4670152
374.8633862,49.23453305,550.3010424,43.02558644,368.2304823,14.84448355
383.9133238,49.56453112,567.6565836,43.86751164,378.2086071,14.96991341
400.2281891,49.90268517,586.6788476,44.38233157,388.1622004,15.34661714
413.3735691,50.14589866,600.8293996,44.56270588,397.2165982,15.63092905
428.3039589,50.71095425,,,407.1835723,15.87057431
438.7294513,50.90542309,,,415.7883725,16.10869032
453.2280847,51.24153814,,,414.7103193,20.17399389
461.3788269,51.4791444,,,414.9565276,24.62915907
476.3270579,51.86145536,,,415.1987216,26.79976139
487.202148,52.10212011,,,415.0885523,32.57957032
498.531296,52.34329461,,,415.7312807,35.29891631
511.2136975,52.67737067,,,417.0087091,36.16848258
519.8051168,53.05254515,,,416.9239635,37.03651961
532.9638776,53.15870016,,,430.0827244,37.14267462
545.1833005,53.58363879,,,441.8926922,37.11024191
556.2898799,53.77887226,,,454.3792867,37.12425998
568.2911943,54.11218369,,,466.1208881,37.01686777
583.2438856,54.44880849,,,474.9374036,37.15368553
599.999428,54.92453076,,,485.2038245,36.97483126
614.9565796,55.2154694,,,496.0668099,37.14567647
625.8182888,55.59319263,,,504.9050073,37.06040874
638.5051505,55.88158253,,,515.6351131,36.97726495
650.2928169,56.07758061,,,523.8302848,37.01819524
663.878874,56.45836233,,,537.7042786,37.03377087
677.4693914,56.79345788,,,547.1700148,36.98093762
688.7851585,57.17169086,,,555.9865303,37.11775538
699.6736295,57.27529712,,,566.401318,37.03425761
716.8921504,57.66015682,,,577.7403778,37.1739073
729.1026527,58.17646777,,,582.4763433,37.11576418
747.2292896,58.56234697,,,592.5789104,37.00018591
759.4620933,58.85022712,,,599.8281279,37.04005422
774.4103244,59.23253808,,,613.6897321,37.18253585
785.2809542,59.51888898,,,623.9313736,37.25749358
796.1560443,59.75955373,,,635.4280925,37.39732027
,,,,648.6900348,37.22182892
,,,,660.0383869,37.26629912
,,,,670.4252978,37.46833984
,,,,684.2899994,37.57909497
,,,,700.689635,37.56577604
