Measured,,Interpolation,
X,RMS Error ,X,RMS Error
0.011214568,0.123109043,0.806373969,3.17E-10
0.011640594,0.19720592,1.130705759,6.62E-10
0.013681798,0.537075122,2.267837215,3.62166E-06
0.013956588,0.206118028,2.399278865,7.25655E-06
0.015850759,0.107642838,2.55521982,1.48676E-05
0.016493856,0.061945495,2.739393966,3.44232E-05
0.018559354,0.08872612,2.99582739,8.0078E-05
0.021759623,0.046177087,3.309002627,0.00018944
0.021508675,0.031824621,3.654916308,0.000442222
0.025009432,0.031715506,4.077329355,0.000958411
0.028554699,0.012975332,4.594012618,0.00199821
0.034975622,0.013791601,5.280130282,0.004356589
0.037621059,0.037264437,6.31493992,0.008970399
0.036250197,0.085672671,7.781223776,0.016384449
0.04707745,0.022677666,9.683773428,0.025191743
0.048956561,0.012973181,12.05150636,0.038616157
0.060792227,0.011270746,14.99816229,0.066415664
0.075156419,0.00826206,18.66529092,0.107187857
0.08899644,0.008327827,23.22905155,0.147331933
0.095727828,0.002776097,28.90867538,0.192346353
0.112607176,0.001393296,35.97699675,0.223133542
0.141668522,0.001158459,44.77355942,0.24069814
0.156855765,0.002018153,55.72092739,0.254968984
0.161070215,0.000525593,69.34498372,0.265221493
0.181080659,0.000986054,86.30019262,0.268466556
0.216186714,0.000345672,,
0.242133327,0.000182757,,
0.252793582,0.000600997,,
0.282946122,0.000110037,,
0.320104394,5.11788E-05,,
0.400816509,2.1368E-05,,
0.432863572,9.26415E-06,,
0.481795143,4.25588E-05,,
0.502840161,3.34496E-06,,
0.506064456,1.39679E-05,,
0.480838032,7.88399E-06,,
0.541770309,1.02084E-06,,
0.592485182,4.89E-07,,
0.680221205,2.71E-07,,
0.732479575,5.28E-07,,
0.795227252,7.53E-08,,
0.808667936,2.29E-07,,
0.804594273,1.93052E-06,,
0.806373969,2.98622E-05,,
0.806373969,1.03674E-05,,
0.806373969,5.32414E-06,,
0.806373969,9.55873E-05,,
0.847474545,7.22E-07,,
0.951707973,3.01E-08,,
0.936067112,1.23E-08,,
1.114758998,5.06E-08,,
1.14200403,3.16E-08,,
1.286719926,1.03E-07,,
1.338924709,2.42E-07,,
1.446451736,7.71E-07,,
1.427298918,2.4704E-06,,
1.407169193,5.36596E-06,,
1.728166796,3.54E-07,,
1.804251731,9.68E-07,,
1.970131026,2.66431E-06,,
1.953625838,5.12794E-06,,
