Gaussian,,MQ,,IMQ,,C0 Matern,,C2 Matern,,C4 Matern,
?,RMS Error,?,RMS Error,?,RMS Error,?,RMS Error,?,RMS Error,?,RMS Error
0.011313584,0.179122244,0.010388541,0.087655309,0.011122604,0.110276045,0.01065536,0.003627383,0.011021809,0.000562712,0.011150665,0.003257539
0.013311983,0.170829873,0.011634521,0.046486885,0.011146738,0.06384217,0.013731052,0.003486651,0.013051988,0.000563943,0.01219852,0.002306332
0.013615469,0.547316415,0.013309098,0.019069344,0.013118355,0.225451534,0.017324531,0.003580064,0.016537504,0.000561556,0.013435802,0.003772941
0.013731052,0.276751898,0.015623303,0.028342837,0.015142051,0.095356456,0.020602545,0.003600127,0.019583655,0.000555224,0.014774771,0.00148128
0.016630964,0.076261986,0.016713174,0.043944525,0.014568073,0.045027029,0.024813443,0.003608795,0.023427338,0.000580531,0.014733198,0.000601249
0.016962253,0.135524415,0.01980563,0.037478583,0.018118356,0.157989226,0.029633436,0.003617089,0.029800906,0.00057768,0.015987671,0.003126369
0.020903275,0.036027989,0.020342958,0.076233741,0.017996243,0.300955193,0.03623734,0.003903673,0.036452401,0.000561997,0.01578623,0.007031435
0.020953822,0.022548425,0.021157234,0.110122098,0.019917559,0.05278636,0.043656091,0.003678783,0.043349643,0.000572765,0.015587327,0.013504274
0.023988455,0.063677226,0.024133736,0.039515722,0.023190896,0.031325478,0.051602233,0.003720231,0.052209758,0.000574144,0.018149014,0.00107702
0.025236517,0.034232338,0.028666829,0.065340723,0.027404603,0.016573586,0.062880769,0.003643568,0.062880769,0.000575527,0.019208898,0.000698612
0.027742573,0.013715071,0.028167926,0.014165776,0.029807366,0.009369781,0.075413381,0.003608587,0.075732798,0.000576912,0.0211317,0.001255989
0.033753462,0.012419461,0.034285463,0.035498598,0.029633436,0.005192466,0.091211619,0.003581786,0.091211619,0.000578301,0.022857254,0.000536364
0.037152352,0.023568106,0.034424067,0.00999037,0.034367678,0.026014263,0.109854114,0.003678895,0.109854114,0.000578284,0.022879347,0.00035078
