Gauassian,,MQ,,IMQ,,C0 Matern,,C2 Matern,,C4 Matern,
?,GCV,?,GCV,?,GCV,?,GCV,?,GCV,?,GCV
0.010629822,1.75693E+17,0.01063961,1.15906E+15,0.01059945,4.67937E+16,0.011581806,0.001584234,0.010837715,5.68484E-06,0.009926209,62708006.92
0.010993726,1.03299E+18,0.009992931,2.19012E+15,0.011666918,2.80047E+15,0.013997332,0.001577287,0.013098004,5.70677E-06,0.010627767,5808317.165
0.012985137,7.41491E+16,0.013244834,1.97436E+15,0.011818583,1.0773E+14,0.016916645,0.001570369,0.015829752,5.68175E-06,0.011586236,3342148.848
0.013060146,2.29019E+18,0.014369929,5.51451E+13,0.012111468,3.42977E+12,0.020444817,0.001563482,0.019131239,5.65683E-06,0.013912781,1810110.99
0.013470054,4.78238E+14,0.014469315,2.72404E+15,0.012062128,2.92766E+11,0.024708831,0.001556626,0.023121291,5.63202E-06,0.014368099,239049.6365
0.013772372,1.48176E+13,0.014635318,4.76199E+12,0.012671892,24252937620,0.029862158,0.001549799,0.027943516,5.60732E-06,0.01531839,20905922.1
0.013786962,1.33946E+12,0.01471227,5.65025E+11,0.014452311,2082087078,0.036090273,0.001543002,0.033771476,5.58273E-06,0.017867915,324450.1679
0.01374063,1.58962E+11,0.01492259,31005579666,0.015875629,756194704.6,0.043617337,0.001536236,0.040814927,5.55825E-06,0.019934739,133320.5114
0.014625555,8713254662,0.016397703,1117822867,0.017943551,10042446535,0.052714262,0.001529498,0.049327375,5.53387E-06,0.0229386,7535.950769
0.018823167,1146140042,0.017860619,553773828.8,0.018826025,40482646022,0.063380425,0.001509222,0.059615197,5.5096E-06,0.02638917,73963.72682
0.02213305,3304659196,0.021272994,951718162.7,0.022764119,12550308611,0.076995354,0.001528665,0.07204867,5.48544E-06,0.029623981,4677.7296
0.024180659,10126367735,0.024095098,1801647604,0.027768261,12382141347,0.093054007,0.001509464,0.087075294,5.46138E-06,0.029286487,309.1979829
0.031193944,9075492650,0.025674403,21495652192,0.032081934,2.45302E+11,0.112461549,0.001502844,0.104233424,5.49373E-06,0.030889453,110.8587788
0.03438533,87615352504,0.027966079,85156799597,0.034128648,9.18269E+11,0.135914301,0.001559229,0.127184128,5.41359E-06,0.03298782,20464.95194
0.0368824,7.26068E+11,0.033087006,5119746735,0.039448238,2.20947E+11,0.164257298,0.001631123,0.153709921,5.38985E-06,0.03359329,2278.168945
0.03631049,2.58581E+12,0.03671557,64984135629,0.041588645,15335075043,0.19851515,0.00162397,0.185765965,5.5006E-06,0.03669419,112.0985294
0.04530733,2.18506E+12,0.04103659,1.10036E+12,0.043553946,640568438.8,0.239917894,0.001616848,0.224503187,5.84991E-06,0.037522491,18.40155743
0.051916198,1.6744E+12,0.041473671,8.22031E+12,0.046844616,28623261.18,0.289955681,0.001609757,0.271326051,5.82426E-06,0.042020928,0.980419499
0.053574233,87376460325,0.048674358,75376296066,0.054978663,4488321.368,0.350405273,0.001874519,0.327909627,5.99316E-06,0.047041325,0.120599945
