RMSE,,LOOCV,,GCV,,MLE,
?,RMS Error,?,RMS Error,?,RMS Error,?,RMS Error
0.091918684,0.002086963,0.092030886,0.000438571,0.097621701,0.076827873,0.09443653,0.000590354
0.098970225,0.001365486,0.098413964,0.00021557,0.101947328,0.044479855,0.104073559,0.000780109
0.099761889,0.000725146,0.099764511,0.000107395,0.103082882,0.028686216,0.119078705,0.000654214
0.099571855,0.000428456,0.102542271,0.000477453,0.110142324,0.025979672,0.131468898,0.000513959
0.10326848,0.00211783,0.104650845,0.000216761,0.110649944,0.016420117,0.144908232,0.000505139
0.103748614,0.001440505,0.105069852,4.58874E-05,0.117430861,0.008717681,0.152186436,0.000287134
0.109025853,0.000316583,0.10562751,0.000102516,0.126668079,0.005282164,0.171656095,0.000250371
0.115918316,0.000439261,0.106051392,2.20637E-05,0.133240952,0.002825041,0.190959055,0.00018993
0.128880147,0.000690561,0.108093178,1.20409E-05,0.148592796,0.002385753,0.212423119,0.000132797
0.128967131,0.000403806,0.114194269,5.90977E-06,0.162133476,0.001973097,0.234008184,8.57986E-05
0.13687458,0.001913082,0.121203146,3.88831E-06,0.171804905,0.001207814,0.233939187,5.02235E-05
0.136215955,0.00447795,0.129301868,6.68054E-06,0.176140271,0.000696452,0.261551863,5.04452E-05
0.14182979,0.000963752,0.130777926,2.66216E-06,0.183751321,0.000346389,0.283965187,3.2331E-05
0.144918044,0.000571231,0.130450995,1.41736E-06,0.200469937,0.000226521,0.300323577,2.01366E-05
0.147439974,0.000216761,0.136742865,1.70065E-05,0.223021412,0.000183943,0.326715348,1.464E-05
0.152338433,9.33563E-05,0.139220882,9.25474E-06,0.248117978,0.000158614,0.356417604,8.47436E-06
0.160255663,5.74025E-05,0.135840666,2.98668E-05,0.276056915,0.000154229,0.394536097,5.28726E-06
0.17084373,3.36199E-05,0.144126908,5.43134E-06,0.307145599,0.000153306,0.43896504,5.20147E-06
0.180724936,2.92162E-05,0.153209832,2.41125E-06,0.341736901,0.000153613,0.486180585,8.85596E-06
0.185687907,4.22966E-05,0.158904874,1.52757E-06,0.380223939,0.000153921,0.530681041,1.43606E-05
0.199230514,1.94823E-05,0.16540647,8.49E-07,0.423047791,0.000155781,0.570880271,2.28586E-05
0.216095382,1.26804E-05,0.170246276,5.25E-07,0.470691693,0.000155781,0.614113697,3.52307E-05
0.226778158,2.57885E-05,0.179010163,2.58E-07,0.52370128,0.000155781,0.670329246,5.79529E-05
0.226464397,6.70804E-05,0.190454017,1.71E-07,0.582680839,0.000155781,0.735233496,9.1827E-05
0.226097145,3.8901E-05,0.21107152,1.35E-07,0.648302712,0.000155781,0.806436733,0.000150388
0.227357549,0.000140795,0.226146504,2.93E-07,0.721314961,0.000155781,0.884537748,0.000247381
0.228534018,0.000247381,0.226360128,5.94E-07,0.799635427,0.000155781,0.965491598,0.000394769
0.233756934,1.21966E-05,0.226127699,1.14007E-06,0.892933555,0.000155781,1.053841652,0.000616248
0.242130929,6.1623E-06,0.231482292,1.30E-07,0.993496279,0.000155781,1.155877248,0.000973351
0.251684097,5.04197E-06,0.238299583,5.98E-08,1.105384439,0.000155781,1.280173581,0.001585807
0.283015123,6.01702E-06,0.258990212,3.40E-08,1.229873513,0.000155781,1.424716579,0.002538515
0.285454676,3.42526E-06,0.287620496,3.02E-08,1.368382622,0.000155781,1.585550053,0.003927605
0.289088188,2.03393E-06,0.293058784,4.30E-08,1.522490711,0.000155781,1.764533868,0.006040425
0.29075413,1.03396E-05,0.288572129,7.93E-08,1.693954549,0.000155781,1.963676695,0.008907339
0.289431959,1.76053E-05,0.327139613,2.31E-08,1.884728748,0.000155781,2.185263184,0.012797499
0.3127796,1.33428E-06,0.363959404,2.06E-08,2.096988056,0.000155781,2.431816546,0.017878432
0.332051991,8.25E-07,0.404967933,2.24E-08,2.333152136,0.000155781,2.706142657,0.024237702
0.339757553,4.92E-07,0.45055282,2.05E-08,2.59591316,0.000155781,3.011328377,0.031192257
0.367375455,3.63E-07,0.501289381,2.01E-08,2.888253755,0.000154539,3.350994273,0.041532057
0.398876048,6.12E-07,0.557742439,1.99E-08,3.213520035,0.000153613,3.728858028,0.052284678
0.394280306,1.62831E-06,0.620557787,2.01E-08,3.575424689,0.000153306,4.149323475,0.065623774
0.382859203,9.62E-07,0.690440818,1.98E-08,3.978078053,0.000152388,4.617124185,0.079929238
0.3928985,3.18749E-06,0.768191911,1.95E-08,4.426106281,0.000153306,5.137617278,0.09571048
0.431048867,5.67E-07,0.854709925,1.97E-08,4.924620517,0.000155781,5.445649016,0.098826016
0.451496504,9.15E-07,0.950963687,1.95E-08,5.479234298,0.000155781,0.410387225,3.63E-07
