Ratio of Condition # bound to actual condition # left,,Ratio of Condition # bound to actual condition # right,
X,Ratio,X,Ratio
0.099865181,8.17E+216,11.06359401,101.6206395
0.104543512,1.73E+199,13.36096602,114.051008
0.111631716,2.01E+174,16.1353908,128.0018752
0.118810346,1.61E+155,19.48592907,143.6592307
0.125491016,6.24E+138,23.43722868,175.4219888
0.133143108,3.47E+122,28.41793014,1027.336081
0.14395971,1.76E+105,34.31895626,1153.001164
0.157125391,4.08E+88,41.44533937,1294.037762
0.17515674,5.31E+71,50.05152668,1452.326139
0.197896021,8.79E+55,56.50593823,1564.164254
0.238649331,1.14E+39,110.4589712,3326768.652
0.3184059,1.49E+22,134.691259,178478360.3
0.412420877,6.42953E+13,158.8159791,13153046688
0.497033929,12255272860,182.2232847,2.80146E+12
0.574582617,77665156.64,227.4563347,2.97924E+17
0.734900507,134435.7905,275.719204,1.90E+24
0.949435118,5569.042492,324.7541357,1.34E+32
1.146617311,1716.998841,472.8653599,1.47E+64
1.271427864,1716.998841,529.0028186,9.07E+79
1.983665109,93.81524131,584.909656,6.72E+96
2.985544755,21.92931666,649.801286,1.20E+119
7.431308786,93.81524131,689.7311258,3.28E+134
8.974447666,93.81524131,734.0442366,4.89E+151
,,777.6831904,3.57E+169
,,812.9503571,1.89E+185
,,849.7429181,2.44E+203
,,893.4957996,5.72E+222
,,944.8082426,8.57E+251
,,970.1764818,3.23E+264
