QMD,,exp,,QMD Error High,,QMD Error Low,,exp Error High Energy (MJ/kg),,exp Error Low Energy (MJ/kg),,exp Error High Pressure (GPa),,exp Error low Pressure (GPa),
Pressure (GPa),Energy (MJ/kg),Pressure (GPa),Energy (MJ/kg),Pressure (GPa),Energy (MJ/kg),Pressure (GPa),Energy (MJ/kg),Pressure (GPa),Energy (MJ/kg),Pressure (GPa),Energy (MJ/kg),Pressure (GPa),Energy (MJ/kg),Pressure (GPa),Energy (MJ/kg)
11.25690188,0.048721275,28.98212796,0.288804999,11.2169469,0.142451896,11.27806385,0.004454341,28.98328897,0.33316255,28.98801506,0.245162739,33.17468706,0.289330206,24.79640216,0.292995074
24.06034344,0.543862858,29.91440637,0.348537108,24.0794327,0.642966395,24.03636082,0.444964672,29.94590774,0.409201054,29.95235241,0.289201312,34.35298743,0.349377338,25.76009504,0.349033622
32.20166567,0.773706539,32.0952356,0.399502218,32.17640778,0.877290274,32.18725631,0.675290708,31.98414182,0.457282584,31.99058649,0.337282841,37.78756651,0.397514721,26.18716179,0.397050705
45.37264998,1.123199018,33.84369966,0.435847552,45.2567234,1.321813487,45.38550938,0.923818638,33.91539438,0.497359834,34.02903538,0.381364379,38.96672617,0.441561887,29.08489993,0.441166614
54.79493305,1.316651872,36.07702943,0.473223427,54.9137381,1.508199768,54.98871109,1.112202766,35.95448775,0.529441398,35.96071759,0.413441647,41.32826782,0.469656349,30.58715234,0.469226704
,,38.03276537,0.506688881,,,,,37.99272182,0.577522927,38.00002578,0.441523219,43.68916501,0.509750785,32.19617144,0.509291065
,,40.04115651,0.551231385,,,,,40.03138554,0.617604473,39.93127834,0.481600469,45.94265104,0.549840924,34.127424,0.549368315
,,44.92150261,0.69099999,,,,,40.99464878,0.681643004,41.00324167,0.521643348,46.90655874,0.60187948,34.98392055,0.601402575
,,46.93652558,0.759356677,,,,,42.97864022,0.739722364,43.04083128,0.581724851,49.48141894,0.657982475,36.48423956,0.665462588
,,48.96963472,0.802196631,,,,,44.96392059,0.773801775,44.97272831,0.609802127,51.41310115,0.690059742,38.52376257,0.689544169
,,40.99916004,0.597643184,,,,,46.89281011,0.85787893,47.01096238,0.657883657,53.87947609,0.766158397,40.02365194,0.761604164
,,42.92912368,0.661720383,,,,,49.03888499,0.897964773,48.94221495,0.697960907,56.40181224,0.800259291,41.5254747,0.797664237
