QMD,,exp.,,PG,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Temperature(K),,exp Error Low Temperature(K),
Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K)
7611.162575,0.419372528,14009.48482,0.857314557,1584.195358,0.142430195,7642.169729,0.494944853,7642.169729,0.349417892,16051.26279,0.872293118,11876.02554,0.856902586,14007.59403,1.020042226,14029.56896,0.724544011
10094.2566,0.669101183,14948.6086,0.974847456,3167.828673,0.293727805,10075.45932,0.770680147,10075.45932,0.57153799,16798.4105,0.940011459,12227.62447,0.940011459,14469.06762,1.081604354,14513.01749,0.792262352
11739.23113,0.989577755,15649.00133,1.08387377,4774.201019,0.442360226,11743.2196,1.142156863,11715.87927,0.843443627,17171.98436,0.983104949,12689.09806,0.983104949,14974.49108,1.137010269,14952.51614,0.844590161
15935.61834,1.436106152,15985.8518,1.134295942,6515.97962,0.603303417,15953.6308,1.632352941,15953.6308,1.230238971,17611.48302,1.032354651,13084.64685,1.035432758,15348.06493,1.186259971,15370.03987,0.878449331
16432.3761,1.499882327,15326.09,1.013886013,8220.472441,0.761291631,16445.75678,1.716605392,16445.75678,1.283854167,17941.10701,1.093916779,13326.37111,1.093916779,15699.66386,1.266290738,15633.73906,0.933855246
19726.72534,2.238652952,14491.04255,0.93077714,9935.337998,0.919476188,19699.25634,2.539981618,19726.59668,1.950214461,18380.60567,1.143166482,13568.09537,1.133932162,16007.31292,1.312462334,16007.31292,0.967714417
24734.83094,3.072943225,,,11608.15192,1.074097102,24702.53718,3.570159314,24702.53718,2.570618873,,,,,,,,
,,,,13387.2163,1.238240701,,,,,,,,,,,,
,,,,15091.70912,1.396601968,,,,,,,,,,,,
,,,,16776.6713,1.552405153,,,,,,,,,,,,
,,,,18479.38861,1.709407439,,,,,,,,,,,,
,,,,20183.88143,1.867395653,,,,,,,,,,,,
,,,,21962.94581,2.031912305,,,,,,,,,,,,
,,,,23677.81136,2.189821981,,,,,,,,,,,,
,,,,25350.62529,2.344344723,,,,,,,,,,,,
,,,,27055.11811,2.50214641,,,,,,,,,,,,
,,,,28796.89671,2.663394402,,,,,,,,,,,,
,,,,30549.04805,2.825387566,,,,,,,,,,,,
,,,,32211.48924,2.978732244,,,,,,,,,,,,
,,,,33926.35479,3.137083694,,,,,,,,,,,,
,,,,35668.1334,3.299006735,,,,,,,,,,,,
,,,,37420.28473,3.460364119,,,,,,,,,,,,
,,,,39145.60312,3.61947757,,,,,,,,,,,,
