QMD,,exp.,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Energy(MJ/kg),,exp Error Low Energy(MJ/kg),
Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg)
63.79372105,0.195729537,89.52655295,1.204682466,63.68212336,0.34519573,63.77317586,0.039145907,103.0497758,1.229911728,77.31755861,1.229911728,90.21068895,1.435856106,90.36906646,1.035408703
78.83139277,0.804270463,91.83957592,1.260351157,78.85754118,1.003558719,79.06719542,0.601423488,104.3152947,1.229911728,78.27082609,1.261375452,91.16095402,1.444437122,91.32008213,1.049710396
90.42401118,1.15658363,94.0045351,1.3049124,90.44969266,1.352313167,90.39786277,0.957295374,106.4274952,1.252794436,79.6463085,1.295699515,92.21780489,1.461599154,92.05942738,1.058291412
96.73605112,1.263345196,96.00856862,1.341917667,96.49978154,1.462633452,96.70990271,1.06405694,107.4828449,1.258515114,80.38640436,1.310001208,93.27315456,1.467319831,92.80027384,1.078313782
98.33063733,1.416370107,97.51034064,1.360121019,98.34884784,1.555160142,98.57297708,1.263345196,108.4357371,1.287118499,81.33929654,1.338604594,94.43396414,1.473040508,93.5403697,1.092615475
103.070504,1.540925267,101.5591032,1.439557349,103.0957185,1.733096085,103.0443556,1.341637011,109.2824187,1.310001208,82.61082025,1.384370012,95.0708519,1.504504232,94.06992104,1.109777507
109.5240255,1.725978648,103.5425226,1.471819886,109.5450376,1.886120996,109.6346893,1.569395018,110.3388943,1.324302901,83.45562541,1.392951027,95.28552473,1.533107618,95.12714722,1.129799877
121.2441174,2.049822064,106.0955418,1.528211547,121.2716667,2.259786477,121.2193698,1.861209964,112.2390491,1.338604594,84.30118117,1.40725272,96.34312622,1.555990327,95.97382889,1.152682586
127.4338202,2.224199288,108.1180792,1.561132503,127.0607384,2.380782918,127.5463517,2.081850534,112.9836486,1.38723035,85.46311665,1.421554413,98.14007295,1.587454052,97.34743479,1.172704956
,,110.8351117,1.590567711,,,,,112.1384681,1.375788996,86.41525823,1.444437122,97.18905728,1.573152359,98.61520548,1.189866987
,,112.6636939,1.596377292,,,,,114.14671,1.410113059,87.4713585,1.455878476,99.30313434,1.61033676,99.03892162,1.20416868
,,90.32465571,1.232772066,,,,,115.51919,1.421554413,88.31653896,1.467319831,100.3607358,1.633219469,100.0942713,1.209889358
,,91.29324803,1.247073759,,,,,116.3654964,1.441576783,89.58393435,1.481621524,101.2066669,1.650381501,101.0456623,1.227051389
,,92.70313314,1.275677145,,,,,117.2099262,1.447297461,90.64116053,1.501643894,102.051472,1.658962516,101.8904674,1.235632405
,,93.31987968,1.287595223,,,,,118.5831568,1.464459492,91.27804829,1.533107618,103.1090735,1.681845225,102.9461924,1.244213421
,,94.55462378,1.320965839,,,,,119.3221268,1.470180169,92.44223558,1.564571343,104.5866381,1.690426241,104.1077526,1.255654775
,,95.43533285,1.335267532,,,,,121.2226569,1.487342201,93.49758525,1.57029202,105.4340704,1.719029627,104.8459719,1.255654775
,,97.02098446,1.363870918,,,,,122.3838418,1.495923217,94.13071999,1.573152359,106.4901707,1.730470981,105.6915277,1.269956468
,,97.90169353,1.378172611,,,,,123.1243129,1.513085248,,,107.5488981,1.761934706,106.325413,1.278537484
,,98.25447756,1.387707073,,,,,125.2372641,1.541688634,,,107.5488981,1.761934706,107.1713441,1.295699515
,,98.69483209,1.39485792,,,,,126.7182064,1.576012697,,,108.921378,1.77337606,108.1246116,1.32716324
,,99.57491565,1.404392382,,,,,127.6677208,1.578873036,,,110.2957345,1.799119107,109.6029268,1.341464933
,,100.6313912,1.418694075,,,,,128.3019815,1.59031439,,,111.2459996,1.807700123,110.1302263,1.341464933
,,101.4260935,1.447297461,,,,,,,,,,,111.2921618,1.355766626
,,102.3064899,1.459215538,,,,,,,,,,,,
,,104.594582,1.483051693,,,,,,,,,,,,
,,106.1777316,1.492586155,,,,,,,,,,,,
,,105.5612978,1.483051693,,,,,,,,,,,,
,,106.2674914,1.506887848,,,,,,,,,,,,
,,107.5009845,1.530724003,,,,,,,,,,,,
