QMD,,exp.,,PG,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Temperature(K),,exp Error Low Temperature(K),
Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K)
10020.04644,0.195402299,17854.47272,1.23628972,680.6381878,0.033185574,9950.677108,0.352490421,10014.13346,0.038314176,20433.59366,1.215538264,15164.50125,1.2206708,17819.47778,1.425972242,17829.23411,1.015369359
15049.25078,0.804597701,18146.20327,1.24135617,2436.216638,0.169275615,15094.10289,0.996168582,15079.68099,0.61302682,20762.21764,1.238634676,15467.81674,1.241200944,18173.21706,1.446502386,18133.41897,1.058995915
17546.97933,1.16091954,19232.76534,1.349269949,4079.859773,0.288350123,17591.97566,1.356321839,17576.68844,0.950191571,21115.57053,1.248899749,15645.07277,1.261731089,18526.66654,1.459333726,18335.30731,1.064128451
18830.23984,1.252873563,19517.61225,1.373511048,5772.65573,0.410561923,18800.24229,1.455938697,18785.53195,1.0651341,21368.26904,1.264297357,15822.52199,1.287393769,18880.69561,1.487562674,18613.50751,1.087224863
20078.31091,1.409961686,20822.87127,1.452752912,7491.575901,0.534520624,20084.07967,1.563218391,20072.83059,1.264367816,21697.08622,1.292526305,16050.00861,1.302791377,19058.24144,1.515791623,18765.35845,1.102622471
21325.22823,1.536398467,21375.85986,1.474484329,9144.678392,0.654286083,21294.94224,1.731800766,21355.51421,1.340996169,22000.8847,1.325887789,16277.97822,1.331020325,19437.67559,1.549153107,19018.53995,1.13085142
22574.45305,1.724137931,22142.22459,1.532447038,10798.66259,0.773903166,22580.22181,1.877394636,22568.39585,1.563218391,22228.17812,1.336152861,16455.33084,1.354116737,19740.99109,1.569683251,19321.95204,1.153947832
25070.88363,2.045977011,22748.4008,1.558136532,12498.91897,0.897049023,25078.38302,2.245210728,25063.38424,1.846743295,22557.1885,1.369514345,16708.12595,1.372080613,20145.05755,1.587647127,19600.34543,1.18217678
26319.6758,2.222222222,23121.92827,1.576817247,14180.4831,1.018626234,26287.51496,2.367816092,26351.25975,2.061302682,22734.44452,1.39004449,16834.37861,1.37721315,20348.20165,1.626141148,19827.83205,1.197574388
,,17604.62609,1.210405728,15862.05314,1.14036031,,,,,22961.73795,1.400309562,17062.15502,1.400309562,20575.59168,1.638972488,20131.24414,1.2206708
,,18453.83219,1.265837117,17666.531,1.274344087,,,,,23163.72288,1.408008366,17289.73824,1.418273438,21005.15983,1.664635168,20509.71232,1.228369604
,,18636.74882,1.302791377,19270.61043,1.395531929,,,,,23517.26897,1.423405974,17416.28069,1.431104778,21257.95494,1.682599044,20838.23971,1.248899749
,,18880.17399,1.339745636,20844.95074,1.504054302,,,,,23871.00825,1.443936118,17871.15733,1.459333726,21460.03647,1.692864116,21165.99432,1.248899749
,,19789.54088,1.385938461,22588.12954,1.621883718,,,,,24174.03395,1.456767458,18073.23886,1.469598798,21662.40779,1.710827992,21544.4625,1.256598553
,,19941.04407,1.392097504,24252.07054,1.746722539,,,,,24527.48343,1.469598798,18402.15264,1.500394015,22092.26574,1.744189476,21772.33551,1.282261233
,,20395.66956,1.413654155,25942.52563,1.868778154,,,,,24729.95135,1.490128942,18528.69509,1.513225355,22521.73729,1.767285889,22151.38328,1.305357645
,,20577.89069,1.432131285,27615.22025,1.9904467,,,,,25234.86539,1.508092819,18781.97318,1.544020571,22850.65106,1.798081105,22505.31575,1.331020325
,,20941.63745,1.450608415,29234.5659,2.109159449,,,,,25260.94666,1.531189231,19035.05809,1.569683251,23153.48357,1.805779909,22908.80263,1.333586593
,,21699.50115,1.490642196,31007.35652,2.235040066,,,,,25589.57064,1.554285643,19413.62287,1.579948323,,,,
,,21821.09782,1.506039804,32650.97818,2.353544157,,,,,25993.44391,1.567116983,,,,,,
,,,,34332.54473,2.47518554,,,,,26094.29149,1.567116983,,,,,,
,,,,36014.07952,2.595983182,,,,,26396.9308,1.569683251,,,,,,
,,,,37695.6942,2.71890325,,,,,,,,,,,,
,,,,39206.43997,2.828321076,,,,,,,,,,,,
