QMD,,exp.,,SQAA,,SCAALP,,Plasma,,COMPTRA,
X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m)
113.2075472,0.0001,10679.24528,4.38506E-05,959.4712016,0.000240091,837.6265336,3.57197E-05,885.8896813,6.85158E-05,290.7388664,0.000216477
7320.754717,4.98346E-05,11283.01887,4.32317E-05,2818.085899,0.000171043,2698.175273,3.06807E-05,2916.194592,5.92682E-05,1221.094385,0.000156511
10452.83019,4.38506E-05,11886.79245,4.20201E-05,4676.700596,0.000121853,4556.78997,2.62615E-05,5122.455313,5.06734E-05,2398.398709,0.000106351
11962.26415,3.44379E-05,12566.03774,4.20201E-05,6535.315293,8.67931E-05,6415.404667,2.24789E-05,7101.789628,4.51812E-05,4091.2546,6.9519E-05
15660.37736,3.11765E-05,13320.75472,4.1427E-05,8393.92999,6.7875E-05,8274.019364,1.9774E-05,9042.858082,4.05394E-05,6235.538729,4.73483E-05
17169.81132,2.37982E-05,14000,4.08424E-05,10252.54469,5.84274E-05,10132.63406,1.80299E-05,10716.64322,3.9133E-05,8094.153426,3.72286E-05
20037.73585,2.12403E-05,14603.77358,3.96977E-05,12111.15938,5.0359E-05,11991.24876,1.64397E-05,12493.73138,3.58819E-05,10159.88648,3.04283E-05
22792.45283,1.90926E-05,15433.96226,3.85851E-05,13969.77408,4.33495E-05,13849.86346,1.49979E-05,14523.64697,3.32439E-05,12285.57484,2.57667E-05
30000,1.41656E-05,16113.20755,3.69744E-05,15828.38878,3.83141E-05,15708.47815,1.38733E-05,16338.00894,3.18194E-05,14539.34955,2.23841E-05
,,16716.98113,3.49309E-05,17687.00348,3.49094E-05,17567.09285,1.31117E-05,18643.56324,2.98866E-05,16757.69613,1.98479E-05
,,,,19545.61817,3.17725E-05,19425.70755,1.23965E-05,20639.08888,2.84824E-05,19006.02036,1.78997E-05
,,,,21404.23287,2.89649E-05,21284.32224,1.17182E-05,22594.77408,2.67243E-05,21254.34459,1.628E-05
,,,,23314.53318,2.70092E-05,23142.93694,1.11498E-05,24663.62169,2.30688E-05,23532.64647,1.49834E-05
,,,,25121.46226,2.59525E-05,25001.55164,1.07275E-05,26672.48014,1.98114E-05,25810.94836,1.38917E-05
,,,,26980.07696,2.50015E-05,26860.16634,1.031E-05,28535.16789,1.7211E-05,28089.25025,1.29744E-05
,,,,28838.69166,2.40458E-05,28718.78103,9.92313E-06,30160.31529,1.51718E-05,30477.47021,1.22101E-05
,,,,30697.30636,2.27424E-05,30597.38083,9.56506E-06,32124.8138,1.4654E-05,32705.80933,1.15695E-05
,,,,32555.92105,2.08578E-05,32436.01043,9.18126E-06,34128.38539,1.39826E-05,34984.11122,1.09839E-05
,,,,34414.53575,1.91502E-05,34294.62512,9.03803E-06,36056.64515,1.33685E-05,37322.36842,1.05882E-05
,,,,36273.15045,1.75536E-05,36153.23982,8.78647E-06,37974.73932,1.27696E-05,39600.67031,1.01836E-05
,,,,38131.76514,1.61224E-05,38011.85452,8.53984E-06,39990.37984,1.21732E-05,41988.89027,9.87725E-06
,,,,39990.37984,1.47756E-05,39870.46922,8.36792E-06,42006.02036,1.1601E-05,44217.22939,9.8702E-06
,,,,41848.99454,1.35709E-05,41729.08391,8.19001E-06,43797.5422,1.11275E-05,,
,,,,43707.60924,1.24418E-05,44330.09558,7.96281E-06,,,,
,,,,44786.80487,1.18271E-05,,,,,,
