QMD,,exp.,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Energy(MJ/kg),,exp Error Low Energy(MJ/kg),
Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg)
6.011066398,0.105447417,11.6300186,0.433806644,5.985915493,0.118838028,6.036217304,0.087592519,13.29137376,0.436921339,9.95587077,0.440211719,11.61351468,0.540829116,11.67416019,0.372189478
8.350100604,0.342263402,12.41648079,0.473920263,8.350100604,0.355656259,8.375251509,0.317712076,13.71589232,0.442341531,10.33995899,0.445628301,11.87631188,0.535470291,12.03803324,0.391957026
11.82092555,0.570251868,13.28170503,0.517056065,11.87122736,0.668470645,11.84607646,0.472039828,14.07976537,0.445962213,10.58254103,0.470767309,12.1997546,0.551646036,12.34126078,0.411719159
16.34808853,0.892084651,14.18838719,0.53214387,16.34808853,1.010388222,16.34808853,0.769316794,14.16062605,0.47646907,10.72404722,0.485132714,12.52319731,0.558851301,12.54341248,0.424295883
21.07645875,1.240721112,14.88913452,0.54772851,21.10160966,1.370187644,21.07645875,1.111256827,14.54471427,0.489062037,10.94641408,0.499505338,12.78599452,0.578609824,12.74556418,0.43507851
26.15694165,1.535817584,15.78944846,0.605363334,26.13179074,1.738940338,26.13179074,1.339386767,14.76708114,0.507022854,11.29007196,0.5103006,13.23072825,0.582237725,13.21051308,0.45126689
,,16.15056862,0.692856127,,,,,15.25224521,0.510654365,11.39114781,0.522868299,13.69567715,0.589455623,13.53395579,0.44591348
,,16.90623915,0.731395176,,,,,15.55547275,0.510681439,11.63372985,0.521095861,13.85739851,0.609205122,13.81696817,0.453115134
,,17.38738197,0.782895047,,,,,16.22257335,0.517917387,11.9976029,0.53548112,13.93825918,0.618182823,14.28191707,0.453156647
,,11.95155724,0.448413503,,,,,17.253547,0.555685461,12.34126078,0.548070478,15.00966317,0.629043062,14.90858733,0.476535852
,,12.26040011,0.465883681,,,,,17.33440768,0.553898584,12.54341248,0.560647202,15.13095419,0.632642084,15.47461208,0.49093916
,,12.65347285,0.502049883,,,,,17.94086277,0.588040561,12.76577935,0.569637537,15.75762445,0.686520926,15.59590309,0.508890953
,,13.53788652,0.503374748,,,,,18.06215379,0.60778645,13.19029791,0.585822308,15.97999132,0.699099455,15.79805479,0.51967358
,,13.76249952,0.532050508,,,,,18.14301447,0.60779367,13.3318041,0.598393616,16.08106716,0.717049442,15.93956098,0.539421274
,,14.70306644,0.583216396,,,,,18.52710269,0.627563023,13.57438613,0.641473587,16.20235818,0.74217762,16.70773742,0.557430824
,,15.09613918,0.548366286,,,,,18.3855965,0.661638218,13.75632266,0.659430794,16.20235818,0.769089065,16.64709191,0.577160468
,,15.41902036,0.572067218,,,,,18.60796337,0.668834458,13.93825918,0.675593905,16.46515539,0.796023973,16.74816776,0.60766913
,,15.64363336,0.593267577,,,,,18.76968472,0.676025282,14.09998054,0.686372922,16.76838293,0.808609721,16.93010429,0.632802723
,,15.85420804,0.614466682,,,,,18.8505454,0.676032502,13.39244961,0.612751801,16.93010429,0.819388738,17.13225598,0.650761735
,,15.93843791,0.66181841,,,,,19.0526971,0.68143284,12.90728553,0.585797039,17.01096497,0.840925114,17.35462285,0.668722552
,,16.09285935,0.666815799,,,,,19.3154943,0.719132327,14.46385359,0.742022396,17.17268632,0.849910035,17.4556987,0.684878444
,,16.09285935,0.686750202,,,,,19.33570947,0.731692806,14.50428393,0.750996488,17.31419251,0.86427544,16.26300369,0.552008827
,,16.37362559,0.701726073,,,,,19.55807634,0.755035912,14.54471427,0.761764675,17.41526836,0.878637235,,
,,16.47189378,0.680554543,,,,,19.67936736,0.749664452,14.48406876,0.765347453,,,,
,,16.8368899,0.704259236,,,,,19.86130388,0.765827564,14.48406876,0.777906127,,,,
,,16.87900483,0.7266892,,,,,20.32625278,0.78381004,,,,,,
,,17.20188601,0.757865534,,,,,,,,,,,,
