exp.,,QMD,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp. Error Low Pressure (GPa),,exp Error High Energy(MJ/kg),,exp Error Low Energy(MJ/kg),
Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg)
13.43393562,0.947782096,5.275229358,0.169109997,5.249745158,0.189725051,5.249745158,0.141615085,15.35934295,0.950808802,11.52901135,0.950282296,13.41345256,1.09692972,13.5363509,0.815218006
13.8231137,0.980980133,7.670744139,0.574937559,7.645259939,0.664281135,7.670744139,0.48559048,15.50272434,0.953590556,11.89770637,0.994525698,13.72069841,1.13840263,13.84359675,0.8373566
14.19180872,0.997603084,11.18756371,1.001537809,11.18756371,1.152740559,11.21304791,0.853774989,16.40397884,1.003431253,12.10253694,1.000077944,14.25325789,1.155048105,14.25325789,0.856747227
14.56050374,1.028036261,12.9714577,1.242332846,12.9714577,1.434772709,12.9714577,1.043020132,16.81363997,1.039394151,12.47123196,1.022224985,14.68340208,1.191013819,14.70388513,0.892715756
14.94968181,1.052948162,14.19469929,1.428068,14.16921509,1.620504359,14.16921509,1.225315356,17.20281805,1.053257872,12.86041003,1.044374842,15.01113098,1.202107048,14.99064793,0.903803354
15.33885989,1.066811884,15.67278287,1.606965331,15.67278287,1.799405194,15.69826707,1.407656119,17.67392835,1.072656945,13.12668977,1.060983715,15.379826,1.224254089,15.50272434,0.917683969
15.68707185,1.097242245,17.09989806,1.799601361,17.09989806,2.095134007,17.09989806,1.497195862,18.10407254,1.105860614,13.24958811,1.105193331,15.83045325,1.262984663,15.87141937,0.937068965
16.09673299,1.127681052,19.03669725,2.05416312,18.98572885,2.342815908,18.98572885,1.751750616,18.57518285,1.133545823,13.55683396,1.127331925,16.03528382,1.298919406,16.1376991,0.967488064
16.52687718,1.185743127,20.20897044,2.24676412,20.18348624,2.538856837,20.18348624,1.944355118,18.90291175,1.177783594,13.8231137,1.135654663,16.50639412,1.373559383,16.46542801,0.981343338
16.87508914,1.246555985,,,,,,,19.43547123,1.244145882,14.17132566,1.17989525,16.97750443,1.445437315,16.85460609,1.050447962
,,,,,,,,,,14.45808845,1.240699661,,,,
