QMD,,exp.,,PG,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Temperature(K),,exp Error Low Temperature(K),
Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K)
6163.339492,0.16796875,16976.18311,0.946763278,815.0473503,0.051813449,6201.146771,0.1875,6164.544505,0.13671875,19672.46426,0.949902947,14620.70531,0.946763278,16969.88763,1.110026042,17074.73158,0.802338526
10080.83628,0.57421875,17439.86938,0.978159963,2465.785565,0.165163403,10077.22124,0.66796875,10084.15006,0.48828125,20106.12594,0.956182284,15177.37097,0.978159963,17433.5739,1.141422727,17538.29678,0.836874879
14845.75835,1.00390625,17965.78404,1.003277312,4172.362041,0.276593736,14878.59496,1.15234375,14851.78342,0.84765625,20693.30045,1.000137643,15393.35433,1.003277312,17898.10763,1.150841733,17909.36686,0.858852559
16918.68172,1.24609375,18336.97518,1.022115323,5920.889699,0.391122362,16949.86142,1.4375,17003.63512,1.04296875,21219.33617,1.022115323,15640.4519,1.025254991,18361.91496,1.179098749,18404.04625,0.890249244
17952.884,1.42578125,18893.88297,1.047232671,7627.447394,0.503039763,17945.35267,1.62109375,17999.27699,1.22265625,21590.76945,1.034673997,16166.36655,1.05037234,18825.84336,1.204216098,18837.22365,0.909087256
20414.12275,1.59765625,19233.95992,1.069210351,9375.988878,0.617209853,20367.72976,1.80078125,20460.21449,1.40234375,22209.42136,1.066070682,16413.58518,1.069210351,19227.54337,1.235612783,19394.85784,0.915366593
21408.86086,1.80078125,19728.76038,1.097467368,11082.55466,0.728917544,21397.41324,2.09765625,21381.74807,1.50390625,22673.34976,1.09118803,16784.41313,1.097467368,19753.09483,1.270149137,19766.04899,0.934204604
23288.68091,2.05078125,20130.82359,1.119445047,12831.09301,0.843168813,23315.7937,2.34765625,23300.12853,1.75390625,23229.65221,1.132003721,17524.73728,1.188517755,20185.6669,1.304685491,20200.19493,0.927925267
25132.19995,2.2421875,20624.65551,1.172819412,14587.88541,0.957934885,25120.90296,2.53515625,25143.7982,1.94140625,23878.57085,1.182238418,17925.46875,1.245031789,20585.79303,1.376897867,20601.04746,0.981299632
,,21024.90272,1.24189212,16286.19715,1.069127772,,,,,24217.43713,1.235612783,17154.63574,1.141422727,21079.01962,1.445970575,21125.26718,1.05037234
,,,,18034.70837,1.184082583,,,,,,,,,,,,
,,,,19704.07248,1.293171607,,,,,,,,,,,,
,,,,21479.45574,1.409505767,,,,,,,,,,,,
,,,,23159.18851,1.51882209,,,,,,,,,,,,
,,,,24897.34743,1.633125447,,,,,,,,,,,,
,,,,26614.28373,1.745012406,,,,,,,,,,,,
,,,,28352.45156,1.859084406,,,,,,,,,,,,
,,,,30069.38414,1.971067764,,,,,,,,,,,,
,,,,31844.7674,2.087401925,,,,,,,,,,,,
,,,,33514.13452,2.196412815,,,,,,,,,,,,
,,,,35262.65983,2.311002325,,,,,,,,,,,,
,,,,36969.22535,2.422716781,,,,,,,,,,,,
,,,,38717.75901,2.537089816,,,,,,,,,,,,
,,,,39833.94001,2.612255231,,,,,,,,,,,,
