QMD,,exp.,,SQAA,,SCAALP,,Plasma,,COMPTRA,
X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m),X,Resistivity( ? m)
142.1800948,9.93348E-05,10651.71362,4.41665E-05,983.5363887,0.000236647,983.5363887,3.53927E-05,909.9932102,6.7892E-05,790.4477143,1.78896E-05
7322.274882,4.96195E-05,11200.24794,4.24932E-05,2841.182601,0.00016879,2841.182601,3.0157E-05,2939.240172,5.87585E-05,2990.992779,1.6629E-05
10485.78199,4.28434E-05,11817.34904,4.24932E-05,4698.828813,0.000120369,4698.828813,2.58367E-05,5144.351257,5.02652E-05,5268.107491,1.55609E-05
12014.21801,3.46043E-05,12605.86712,4.16804E-05,6556.475025,8.58382E-05,6556.475025,2.21273E-05,7107.776482,4.41465E-05,7545.222203,1.46601E-05
15675.35545,3.10995E-05,13154.40144,4.19496E-05,8414.121238,6.72105E-05,8414.121238,1.95584E-05,9043.323987,4.02443E-05,9932.197712,1.39319E-05
17168.24645,2.36545E-05,13977.20291,4.08832E-05,10271.76745,5.79173E-05,10271.76745,1.78392E-05,10759.7206,3.84407E-05,12159.3757,1.31961E-05
20047.39336,2.11173E-05,14628.58741,4.01013E-05,12129.41366,4.99091E-05,12129.41366,1.6274E-05,12546.15834,3.53597E-05,14436.49041,1.24883E-05
22748.81517,1.92335E-05,15245.68852,3.88311E-05,13987.05987,4.30082E-05,13987.05987,1.48407E-05,14540.64415,3.26204E-05,16823.46592,1.19237E-05
29928.90995,1.4149E-05,15965.63981,3.76012E-05,15844.70609,3.80358E-05,15844.70609,1.37691E-05,16354.06069,3.09633E-05,19050.6439,1.13876E-05
,,16668.4494,3.45826E-05,17702.3523,3.46546E-05,17702.3523,1.29375E-05,18658.41362,2.97083E-05,21357.72065,1.08926E-05
,,,,19559.99851,3.15567E-05,19559.99851,1.22192E-05,20652.89943,2.83025E-05,24021.61801,1.05238E-05
,,,,21417.64472,2.8788E-05,21417.64472,1.16265E-05,22607.56557,2.65685E-05,25732.17786,1.02948E-05
,,,,23326.94962,2.68508E-05,23275.29094,1.11007E-05,24675.33515,2.29227E-05,27589.82407,1.01876E-05
,,,,25132.93715,2.58039E-05,25132.93715,1.06469E-05,26704.58211,1.96772E-05,29469.04295,9.90019E-06
,,,,26990.58336,2.4857E-05,26990.58336,1.02488E-05,28544.86396,1.71431E-05,31232.70825,9.63082E-06
,,,,28848.22957,2.39102E-05,28848.22957,9.89063E-06,30150.21621,1.52958E-05,33087.30277,9.78808E-06
,,,,30705.87578,2.26186E-05,30705.87578,9.60234E-06,32132.63939,1.45993E-05,35230.14317,9.71699E-06
,,,,32563.522,2.07505E-05,32563.522,9.27773E-06,34161.49723,1.3912E-05,37537.21992,9.68833E-06
,,,,34421.16821,1.90505E-05,34421.16821,9.00485E-06,36028.5433,1.33251E-05,39844.29667,9.67335E-06
,,,,36278.81442,1.74771E-05,36278.81442,8.74873E-06,37979.51664,1.27247E-05,42231.27218,9.64076E-06
,,,,38136.46063,1.60511E-05,38136.46063,8.53234E-06,39994.10685,1.21388E-05,43889.17148,9.67444E-06
,,,,39994.10685,1.472E-05,39994.10685,8.34097E-06,42008.69705,1.15672E-05,,
,,,,41851.75306,1.35141E-05,41851.75306,8.1391E-06,43799.28538,1.10967E-05,,
,,,,43709.39927,1.24024E-05,,,,,,
,,,,44788.03256,1.17786E-05,,,,,,
