QMD,,exp.,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Energy(MJ/kg),,exp Error Low Energy(MJ/kg),
Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg)
11.57270812,0.139558277,14.03694324,0.17023273,11.49372276,0.241099777,11.56405219,0.041097072,15.60072486,0.157579992,11.99795727,0.167610931,13.90783066,0.191031855,14.08034868,0.144036457
15.62557692,0.240940859,14.91741364,0.185583481,15.63423285,0.339402065,15.5290092,0.142483035,16.13132376,0.164978862,12.77651685,0.182419542,15.04023154,0.212009589,15.00044478,0.161312718
20.78004808,0.373050302,16.0621604,0.207077914,20.8329304,0.47458673,20.90298934,0.271507112,17.26339852,0.18224697,13.62660563,0.207117774,15.8542296,0.228053385,16.16806673,0.181052552
26.77143949,0.525127557,16.94398328,0.237813228,26.74033224,0.671282599,26.75832034,0.375897292,18.28981007,0.203228781,14.40560004,0.226872555,17.0582684,0.260157281,17.05294176,0.199566714
32.6760011,0.689515843,17.91263597,0.256237511,32.64070113,0.787978739,32.62338927,0.591056328,19.59907726,0.226672806,15.36178687,0.252803252,18.01489006,0.291034148,18.00836764,0.216841616
47.25894418,1.070493422,18.96865945,0.268504587,47.3555119,1.168951246,47.29397365,0.968953613,20.66016634,0.240234005,16.31688662,0.266368528,19.04097549,0.308306332,19.06945672,0.230402815
,,19.98113278,0.285388722,,,,,21.72103802,0.251322119,17.02522147,0.286126026,20.06716962,0.326815059,20.06010367,0.246439816
,,20.99333561,0.299195945,,,,,21.97008577,0.271097283,17.87411448,0.297222294,21.12836742,0.3416128,21.15587029,0.252580403
,,22.05071158,0.326847585,,,,,23.03139227,0.287131566,18.75996788,0.326865336,22.08488036,0.371253124,22.00639391,0.282224804
,,23.10889904,0.363729962,,,,,24.16335832,0.303163132,19.53994064,0.357748996,23.07781016,0.413257511,23.06824394,0.304441798
,,23.99126292,0.400619102,,,,,25.36696229,0.33032086,20.49764937,0.400991284,24.00029781,0.4577377,24.02519172,0.339028291
,,25.04836839,0.425193829,,,,,26.42957328,0.361193649,21.34752074,0.423216432,25.09845599,0.491082216,25.08725917,0.36371837
,,26.10709685,0.468230031,,,,,27.42185083,0.395778783,22.26968227,0.463986994,26.1451414,0.54174036,25.97398221,0.403253749
,,,,,,,,29.83090679,0.471115456,,,,,,
,,,,,,,,28.69709272,0.434062673,,,,,,
