QMD,,exp.,,PG,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Temperature(K),,exp Error Low Temperature(K),
Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K)
9901.477833,0.140787313,12769.5676,0.169324413,1755.61029,0.025858888,9950.738916,0.240789474,9950.738916,0.040789474,14517.50407,0.172597296,10756.08837,0.168907079,12669.7911,0.192492626,12735.78085,0.141967054
14926.10837,0.239253306,13624.79475,0.185606237,3706.896552,0.053673516,14926.10837,0.341007692,14975.36946,0.141009852,15606.33493,0.1879211,11481.97561,0.186565126,13725.62708,0.210165144,13692.63221,0.157285069
19950.73892,0.376315789,14651.06732,0.203926103,5647.235906,0.081000334,20000,0.474563564,19950.73892,0.274561404,16761.15554,0.211473362,12372.83723,0.213631053,14583.49382,0.239579785,14550.49895,0.180824307
24975.36946,0.527413361,15677.3399,0.238490283,7598.522167,0.108668762,24975.36946,0.674781782,24975.36946,0.376536168,17915.97615,0.230325302,13263.69884,0.237171738,15606.33493,0.261951179,15639.32981,0.200848433
30000,0.689037248,16646.59734,0.256807648,9649.69896,0.138809084,30000,0.790791634,30000,0.590791634,19037.80188,0.244475472,13956.5912,0.256003418,16530.19142,0.28314315,16629.17604,0.217342976
40049.26108,1.071934146,17501.82448,0.269028394,11632.45758,0.166877717,40000,1.170177599,40000,0.970177599,20060.643,0.25744622,14979.43232,0.267799086,17619.02228,0.307867599,17619.02228,0.230312278
,,18528.09706,0.28531772,13583.74384,0.193369743,,,,,21248.45848,0.289225494,15705.31956,0.290157455,18674.85826,0.329065358,18542.87877,0.246803926
,,19554.36964,0.299576508,15535.0301,0.221479325,,,,,22436.27396,0.301028398,16464.20167,0.301941545,19499.73013,0.343202504,19598.71475,0.25625088
,,20352.58165,0.326008528,17486.31637,0.248891888,,,,,23459.11507,0.328100113,17487.04278,0.32783818,20390.59174,0.372618593,20489.57636,0.279791565
,,21492.88451,0.360577709,19437.60263,0.276625656,,,,,24679.92543,0.363406076,18344.90952,0.357252822,21495.92004,0.412619813,21347.4431,0.304505884
,,22405.1268,0.403259046,21388.88889,0.306696077,,,,,25801.75117,0.40223294,19004.80701,0.399584667,22403.27909,0.456137592,22403.27909,0.339804611
,,23317.36909,0.429696067,23340.17515,0.33821981,,,,,26923.5769,0.430484077,19961.65837,0.427828569,23459.11507,0.494961562,23360.13045,0.365698352
,,24457.67196,0.472387406,25197.04433,0.363643844,,,,,27946.41801,0.469306599,20654.55074,0.470161861,24316.98181,0.53847717,24382.97156,0.402170713
,,,,27185.27641,0.386891378,,,,,,,,,,,,
,,,,29136.56267,0.413950645,,,,,,,,,,,,
,,,,31087.84893,0.441667807,,,,,,,,,,,,
,,,,33039.13519,0.46923877,,,,,,,,,,,,
,,,,34990.42146,0.496907199,,,,,,,,,,,,
,,,,36941.70772,0.524673093,,,,,,,,,,,,
,,,,38892.99398,0.552292789,,,,,,,,,,,,
,,,,40838.80679,0.579814779,,,,,,,,,,,,
,,,,42784.61959,0.607385502,,,,,,,,,,,,
,,,,44735.90586,0.634956464,,,,,,,,,,,,
,,,,46687.19212,0.662771092,,,,,,,,,,,,
,,,,48108.92173,0.682916295,,,,,,,,,,,,
