exp.,,QMD,,SQAA,,SCAALP,,Plasma,,COMPTRA,
Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m)
4034.873257,3.15014E-05,37.68844221,0.000379975,832.6696876,0.000290253,686.1183891,0.000103068,906.1026933,6.53817E-05,1026.367973,0.00033354
5522.820123,2.99089E-05,7462.311558,7.27718E-05,2332.801089,0.000206124,2303.952409,7.34736E-05,2836.3417,5.67241E-05,2563.590536,0.00020675
6919.078355,2.92978E-05,,,3796.558068,0.000148095,4092.570619,5.56123E-05,4640.695554,4.9657E-05,3906.163758,0.000146624
8532.281057,2.73774E-05,,,5275.366532,0.000105751,5883.112074,4.4812E-05,6513.237199,4.31287E-05,5543.247139,0.000104737
9924.552667,2.62354E-05,,,6746.649253,7.58818E-05,7669.807038,3.74921E-05,8443.476205,3.81513E-05,7309.198528,7.84953E-05
11304.74082,2.54322E-05,,,8362.175378,5.88144E-05,9458.425248,3.23688E-05,10315.64319,3.46057E-05,9134.432372,6.13754E-05
12827.86755,2.42558E-05,,,10150.79359,4.96608E-05,11247.04346,2.87456E-05,12398.36808,3.10125E-05,11127.21048,4.92343E-05
14336.65953,2.36868E-05,,,11939.4118,4.18223E-05,13035.66167,2.73424E-05,14305.00362,2.81091E-05,13124.42684,4.09671E-05
15812.12322,2.25015E-05,,,13728.03001,3.53256E-05,14824.27988,2.58819E-05,16217.25904,2.60173E-05,15285.85877,3.45256E-05
17221.04978,2.1371E-05,,,15516.64822,3.06396E-05,16612.89809,2.45475E-05,18021.3925,2.44866E-05,17478.35851,2.99171E-05
18687.67371,2.09013E-05,,,17305.26643,2.82825E-05,18401.5163,2.3238E-05,19875.42163,2.30128E-05,19634.14175,2.65252E-05
20125.44896,2.06109E-05,,,19093.88464,2.6166E-05,20190.13451,2.19892E-05,21816.75628,2.18379E-05,21884.33885,2.38418E-05
21637.22734,2.01781E-05,,,20882.50285,2.41656E-05,22005.67815,2.2133E-05,23690.44111,2.02355E-05,24393.79943,2.15569E-05
,,,,22671.12106,2.24549E-05,23767.37093,2.10773E-05,25552.95243,1.8883E-05,26132.96275,2.01079E-05
,,,,24464.54738,2.12955E-05,25555.98914,2.03747E-05,27481.98202,1.76009E-05,27921.58096,1.94728E-05
,,,,26043.7941,2.02124E-05,27344.60735,1.96777E-05,29407.9749,1.64105E-05,29710.19917,1.88809E-05
,,,,28036.97569,1.88119E-05,29133.22556,1.90463E-05,31306.49284,1.55509E-05,31498.81738,1.83613E-05
,,,,29825.5939,1.79184E-05,30921.84377,1.84931E-05,33169.00417,1.48557E-05,33287.43559,1.78623E-05
,,,,31614.21211,1.73707E-05,32710.46198,1.79999E-05,35098.03375,1.41597E-05,35076.0538,1.74406E-05
,,,,33402.83032,1.69163E-05,34499.08019,1.75565E-05,36996.5517,1.34942E-05,36864.67201,1.74208E-05
,,,,35191.44853,1.6491E-05,36287.6984,1.70853E-05,38922.54458,1.28665E-05,38335.95473,1.74196E-05
,,,,36980.06674,1.60764E-05,38076.31661,1.67023E-05,40754.68887,1.22911E-05,40326.51371,1.71734E-05
,,,,38768.68495,1.56558E-05,39864.93482,1.62299E-05,42686.61055,1.17156E-05,42634.40817,1.70347E-05
,,,,40557.30316,1.52675E-05,41653.55303,1.5939E-05,44076.84221,1.13228E-05,44596.11847,1.71905E-05
,,,,42345.92137,1.48655E-05,43442.17124,1.52649E-05,,,,
,,,,44076.84221,1.44977E-05,44653.81583,1.50281E-05,,,,
