QMD,,exp.,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Energy(MJ/kg),,exp Error Low Energy(MJ/kg),
Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg)
17.20881427,0.272860441,24.40441491,0.587220221,17.25078699,0.320862539,17.25078699,0.220862539,27.86975503,0.587393488,20.86620548,0.592830347,24.38822173,0.685599041,24.38822173,0.486910769
22.32948583,0.633116474,25.08452839,0.60345793,22.32948583,0.727116474,22.32948583,0.525116474,28.5579651,0.589356911,21.43296672,0.610219796,25.03594886,0.704921551,24.99546591,0.512018292
25.47743966,0.891273872,25.95896001,0.631279429,25.43546695,1.035271773,25.43546695,0.733271773,29.81293641,0.626070894,22.12117679,0.633402355,27.01961318,0.755175055,26.00753954,0.531359019
28.33158447,1.109416579,26.9305507,0.666050231,28.33158447,1.305416579,28.33158447,0.909416579,30.94645888,0.655062755,23.09276748,0.664315132,28.1126527,0.791880941,27.01961318,0.564202833
32.27701994,1.423613851,27.95072092,0.696193832,32.23504722,1.621611752,32.31899265,1.22561595,32.0394984,0.685981605,23.86194344,0.685572727,26.04802249,0.728120302,27.99120387,0.59511561
,,29.01947068,0.733284307,,,,,33.29446971,0.734269662,24.71208529,0.733840543,28.96279455,0.838219745,29.08424339,0.624105447
,,29.94248183,0.777311939,,,,,34.50895807,0.774839645,25.56222714,0.780179346,29.8939023,0.890349633,30.05583408,0.656947236
,,29.94248183,0.791200828,,,,,34.38750923,0.788336659,25.64319304,0.787899444,30.01535113,0.90192978,30.05583408,0.664663286
,,30.96265205,0.821344429,,,,,35.68296348,0.813478593,26.25043722,0.816864991,30.98694182,0.936700582,31.02742477,0.695576063
,,30.91407252,0.828286444,,,,,35.5210317,0.82504457,26.49333489,0.820735161,31.02742477,0.944418655,30.94645888,0.703288064
,,31.98282228,0.865376919,,,,,36.69503711,0.869470554,27.26251085,0.865140903,31.99901545,0.994621556,31.95853251,0.734202865
,,33.0029925,0.927927927,,,,,36.77600301,0.877190652,27.26251085,0.868998928,31.99901545,0.996550568,31.99901545,0.739991926
,,33.0029925,0.918668668,,,,,37.95000842,0.923545649,28.07216976,0.928838794,33.05157203,1.060260603,33.01108909,0.784409814
,,,,,,,,37.86904253,0.93125765,28.1126527,0.934627855,33.17302087,1.062195688,33.05157203,0.792127887
