QMD,,exp.,,PG,,QMD Error High,,QMD Error Low,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Temperature(K),,exp Error Low Temperature(K),
Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K)
9979.318678,0.269951455,14494.24406,0.580459359,1318.513758,0.083011447,9980.64955,0.316931221,10006.25298,0.220732444,16598.24219,0.584617926,12417.69125,0.580614211,14524.62339,0.688343691,14491.49341,0.483361628
12510.57304,0.623230258,14904.57901,0.597690616,2577.811704,0.160882675,12541.75345,0.723899073,12536.04972,0.522557217,17035.59457,0.591058508,12691.47201,0.600013382,15536.55474,0.72279194,14902.01174,0.507066066
15039.10227,0.880312396,15588.45023,0.625690134,3798.631489,0.235914511,15043.28501,1.02796309,15034.85616,0.730424569,17773.98966,0.614738496,13320.63597,0.625859247,14907.51303,0.70126153,15503.91377,0.535071697
17538.35234,1.10383967,16245.12063,0.658007144,5087.953258,0.315509258,17543.92932,1.300707263,17532.6486,0.902497814,18540.25795,0.657835993,13867.95299,0.65602668,16193.10289,0.750793496,16187.66273,0.55875576
20068.40257,1.41461297,16847.1449,0.690328229,6355.691073,0.393985619,20045.77776,1.615956939,20062.88896,1.219982509,19224.31254,0.692308693,14333.30082,0.686200226,16904.54167,0.787421886,16817.01007,0.591074808
,,17586.02899,0.731270036,7587.862077,0.469954481,,,,,20072.30551,0.726769168,14908.24654,0.727154258,17534.50026,0.841318207,17528.20435,0.619072288
,,18488.79034,0.770041891,8865.846759,0.549111065,,,,,21084.42023,0.7676906,15701.96013,0.774565172,18382.98224,0.893040501,18376.13619,0.651375036
,,18489.03484,0.778672801,10145.70564,0.628060441,,,,,21221.58568,0.787099959,15702.02126,0.7767229,18383.16561,0.899513684,18403.88713,0.66647709
,,18845.21267,0.813169951,11375.99067,0.703820792,,,,,21522.87288,0.812970275,16003.49184,0.809066398,18821.49601,0.940477903,18841.97303,0.6988104
,,18845.33492,0.817485406,12643.72613,0.782214009,,,,,21550.31819,0.817283692,16031.0594,0.81769527,18794.23407,0.942637668,18814.83334,0.70528562
,,19474.98789,0.86059309,13888.9876,0.85889614,,,,,22316.58647,0.860381189,16606.18849,0.865122484,19533.48492,0.99652584,19498.94905,0.741916047
,,19475.11014,0.864908545,15162.32101,0.937920832,,,,,22289.38566,0.864698681,16578.86543,0.865124522,,,19444.30293,0.741920122
,,20159.65373,0.916643064,16452.75649,1.017686209,,,,,23028.33088,0.907798216,17236.20821,0.921176533,,,20183.12589,0.780704202
,,20159.65373,0.916643064,17660.33549,1.091862384,,,,,23055.83732,0.91426936,17236.14708,0.919018805,,,20155.92508,0.785021694
,,,,18940.20038,1.171023777,,,,,,,,,,,,
,,,,20167.21772,1.246647184,,,,,,,,,,,,
,,,,21450.34664,1.325816648,,,,,,,,,,,,
,,,,22722.10694,1.404704469,,,,,,,,,,,,
,,,,23960.50233,1.480942094,,,,,,,,,,,,
,,,,25228.2425,1.559501598,,,,,,,,,,,,
,,,,26697.86387,1.649508848,,,,,,,,,,,,
