exp.,,QMD,,SQAA,,SCAALP,,Plasma,,COMPTRA,
Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m)
5902.192243,0.000140801,0,0.00018726,752.9745559,0.000339806,886.2810255,3.55937E-05,839.9135578,6.76825E-05,399.2680564,5.75795E-05
6441.821248,0.000144874,3338.954469,0.000114505,2139.36184,0.000240679,2539.281249,3.41344E-05,2577.368812,5.69593E-05,1949.177943,4.00877E-05
7318.718381,0.000125624,6677.908938,7.25573E-05,3659.055594,0.000169409,4192.281473,3.25728E-05,4478.284444,4.80998E-05,3254.33384,3.22625E-05
8128.161889,0.000125624,10016.86341,5.85871E-05,5312.055818,0.000125372,5845.281696,3.18196E-05,6283.981169,4.15443E-05,5052.108202,2.60646E-05
9072.512648,0.000120364,13355.81788,4.86751E-05,6965.056041,9.4983E-05,7498.28192,3.05721E-05,7904.126061,3.70349E-05,6965.056041,2.18406E-05
10016.86341,9.71888E-05,20033.72681,3.12864E-05,8618.056265,7.6201E-05,9151.282143,2.91714E-05,9628.76168,3.3016E-05,8879.821696,1.90689E-05
11298.48229,0.0001,,,10271.05649,6.21414E-05,10804.28237,2.78247E-05,11434.45841,2.97016E-05,10852.75745,1.69147E-05
11703.20405,9.31194E-05,,,11924.05671,5.2782E-05,12457.28259,2.65595E-05,13141.58913,2.7029E-05,12910.52459,1.53655E-05
11163.57504,6.61353E-05,,,13577.05694,4.53569E-05,14056.96023,2.52373E-05,14961.02047,2.49536E-05,14936.78293,1.41918E-05
11770.65767,6.7085E-05,,,15230.05716,4.03827E-05,15744.73605,2.4263E-05,16744.9034,2.31138E-05,16963.04126,1.33388E-05
12715.00843,6.90255E-05,,,16883.05738,3.5954E-05,17416.28326,2.31239E-05,18466.73824,2.14502E-05,19087.05768,1.26982E-05
12647.55481,6.51991E-05,,,18536.05761,3.21101E-05,19069.28348,2.20244E-05,20341.40808,1.98992E-05,21068.88053,1.22231E-05
13524.45194,6.66085E-05,,,20189.05783,2.87973E-05,20722.28371,2.10305E-05,22121.36685,1.88745E-05,23192.89695,1.18902E-05
,,,,21842.05805,2.66127E-05,22375.28393,2.01035E-05,23894.97769,1.78906E-05,25130.2843,1.16544E-05
,,,,23495.05828,2.46609E-05,24028.28416,1.92103E-05,25780.31204,1.69262E-05,27298.73621,1.1459E-05
,,,,25148.0585,2.28564E-05,25681.28438,1.83635E-05,27560.27081,1.61844E-05,29236.12357,1.12951E-05
,,,,26801.05872,2.12805E-05,27334.2846,1.75636E-05,29299.60284,1.56296E-05,31360.13999,1.12197E-05
,,,,27280.96201,0.000219024,28987.28483,1.68291E-05,31193.82429,1.5025E-05,33484.1564,1.11406E-05
,,,,28454.05895,2.02281E-05,30640.28505,1.61106E-05,32999.17477,1.44788E-05,35421.54376,1.10572E-05
,,,,28427.39765,0.000219127,32293.28527,1.54285E-05,34779.13354,1.39674E-05,37589.99567,1.10158E-05
,,,,30107.05917,1.92768E-05,33946.2855,1.47967E-05,36632.72826,1.34488E-05,39118.57652,1.04504E-05
,,,,31760.05939,1.83735E-05,35599.28572,1.4227E-05,38412.68702,1.29738E-05,,
,,,,33413.05962,1.75189E-05,37252.28594,1.36941E-05,39411.85075,1.27221E-05,,
,,,,35066.05984,1.67011E-05,38905.28617,1.31884E-05,,,,
,,,,36719.06007,1.59127E-05,39865.09275,1.2794E-05,,,,
,,,,38372.06029,1.51698E-05,,,,,,
,,,,39598.47981,1.46413E-05,,,,,,
