QMD,,QMD Error High,,QMD Error Low,,exp,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Energy(MJ/kg),,exp Error Low Energy(MJ/kg),
Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg)
1.897003703,0.31025641,1.878970782,0.361538462,1.880192848,0.256410256,11.15396678,0.704159412,13.18608095,0.708281234,9.22000489,0.69591577,11.18087061,0.801022212,11.19718541,0.603174792
7.056177766,0.492307692,7.072720363,0.569230769,7.074568365,0.41025641,11.50407602,0.726829429,13.49407359,0.737133982,9.56999435,0.72889034,11.54468333,0.850484067,11.50520201,0.62996663
10.12156573,0.792307692,10.13813814,0.866666667,10.12254935,0.707692308,11.98012781,0.765986731,13.98423612,0.768047642,10.06013292,0.76186491,12.00691186,0.873154084,11.98142149,0.654697557
11.49755214,0.923076923,11.49665795,1,11.49847614,0.843589744,12.48437712,0.790717659,14.44656048,0.782474016,10.52238541,0.782474016,12.48320322,0.891702279,12.49975758,0.673245753
13.69238221,1.112820513,13.69148801,1.18974359,13.69333602,1.030769231,13.00240177,0.836057692,15.00658195,0.831935871,11.0543531,0.833996782,13.00108413,0.949407777,13.01785411,0.712403055
17.47184405,1.484615385,17.45351307,1.561538462,17.47279786,1.402564103,13.50667503,0.858727709,15.46873861,0.86078862,11.54470728,0.848423156,13.50530948,0.976199615,13.48008264,0.735073072
,,,,,,13.99659799,0.910250475,15.94469457,0.908189564,12.09061801,0.906128654,13.96713074,1.033905112,14.01209824,0.782474016
,,,,,,14.48647303,0.965895062,16.49067717,0.95971233,12.51741398,0.962803696,14.47109257,1.083366967,14.4880542,0.82987496
,,,,,,15.00485704,0.980321436,16.99495044,0.982382347,13.01473968,0.980321436,15.01015156,1.127676546,15.00658195,0.831935871
,,,,,,15.46703766,1.007113274,17.45717897,1.005052364,13.50497408,1.005052364,15.47932766,1.155498839,15.52482221,0.858727709
,,,,,,15.80322782,1.021539649,17.77933027,1.021539649,13.79909555,1.021539649,15.77349704,1.167864303,15.80492878,0.875214994
