QMD,,QMD Error High,,QMD Error Low,,exp,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Temperature(K),,exp Error Low Temperature(K),
Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K)
10028.49003,0.310055866,9990.503324,0.354748603,10028.49003,0.259776536,21310.54131,0.701117318,24430.05776,0.710770642,18196.4392,0.703286889,21275.08347,0.798704748,21325.97015,0.604127152
15042.73504,0.497206704,15004.74834,0.567039106,15004.74834,0.410614525,21656.73359,0.723867211,24989.81126,0.733221903,18578.08932,0.720125334,21809.39363,0.828639763,21631.29025,0.626578413
20018.99335,0.790502793,20018.99335,0.863128492,20018.99335,0.706703911,22420.03382,0.763156918,25753.1115,0.765027856,19188.7295,0.761285979,22521.80718,0.864187592,22445.47716,0.652771551
22032.2887,0.924581006,22032.2887,1.002793296,22070.2754,0.846368715,23081.56069,0.778124425,26592.74175,0.78373724,19646.70964,0.781866302,23259.66407,0.888509792,23157.89071,0.674287343
25033.23837,1.108938547,25033.23837,1.19273743,25071.22507,1.030726257,23844.86092,0.826768824,27483.25869,0.830510701,20308.23651,0.823026947,23946.63428,0.942767006,23946.63428,0.714512519
30047.48338,1.483240223,30047.48338,1.567039106,30009.49668,1.402234637,24582.71781,0.849220085,28373.77563,0.866058531,20944.32004,0.852961962,24684.49117,0.972702021,24582.71781,0.738834718
,,,,,,25295.13136,0.905348238,29137.07586,0.91470293,21656.73359,0.895993546,25346.01804,1.03257205,25295.13136,0.779995364
,,,,,,26083.87493,0.953992636,29925.81943,0.963347329,22191.04375,0.953992636,26134.76161,1.081216449,26032.98825,0.834252578
,,,,,,26694.51512,0.974572959,30765.44969,0.978314836,22725.35391,0.968960144,26745.4018,1.123312563,26796.28848,0.84360727
,,,,,,27457.81535,1.001701566,31605.07994,1.006378912,23437.76746,0.993282343,27483.25869,1.15044117,27432.37201,0.858574777
,,,,,,27903.07382,1.017604543,32139.3901,1.019475481,23768.53089,1.017604543,27915.79549,1.172892431,27915.79549,0.875413223
