QMD,,exp,,SQAA,,SCAALP,,Plasma,,COMPTRA,
Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m)
10025.99653,0.000100734,21308.4922,3.07394E-05,10660.71764,0.000287635,10675.38001,6.47805E-05,10611.64109,6.88619E-05,10288.82646,0.00051409
15017.33102,6.93013E-05,21672.44367,3.02906E-05,11900.3549,0.000205143,11900.3549,5.20642E-05,11965.7903,5.94473E-05,11011.38426,0.000363019
19982.66898,3.53307E-05,22452.33969,2.98453E-05,13139.99216,0.000146336,13139.99216,4.16571E-05,13434.45145,5.07057E-05,12203.79552,0.000237151
22010.39861,2.71427E-05,23180.24263,2.89801E-05,14379.62943,0.000104386,14379.62943,3.33242E-05,14774.29655,4.39743E-05,13542.95117,0.000162864
25000,1.99527E-05,23908.14558,2.814E-05,15619.26669,8.16335E-05,15619.26669,2.81793E-05,16003.59867,3.89734E-05,14819.50071,0.000122452
30017.33102,1.60042E-05,24584.05546,2.77271E-05,16858.90395,7.01791E-05,16858.90395,2.52297E-05,17316.16145,3.4417E-05,16099.12627,9.62162E-05
,,25311.95841,2.71208E-05,18098.54121,6.03975E-05,18098.54121,2.25971E-05,18651.1068,3.03223E-05,17438.73428,7.7414E-05
,,26039.86135,2.69185E-05,19338.17848,5.19228E-05,19338.17848,2.02391E-05,19918.00881,2.69504E-05,18840.14239,6.29566E-05
,,26767.7643,2.67177E-05,20577.81574,4.39225E-05,20577.81574,1.85327E-05,21250.9521,2.49203E-05,20156.12095,5.23594E-05
,,27443.67418,2.67133E-05,21817.453,3.65071E-05,21817.453,1.74066E-05,22553.60123,2.27478E-05,21686.06288,4.28074E-05
,,27885.61525,2.61311E-05,23057.09026,3.08317E-05,23057.09026,1.63667E-05,23852.64695,2.10788E-05,23375.42362,3.44118E-05
,,,,24296.72753,2.66888E-05,24296.72753,1.53722E-05,25125.5759,2.00293E-05,25297.97301,2.7819E-05
,,,,25536.36479,2.41786E-05,25536.36479,1.46093E-05,26467.52089,1.89547E-05,26591.77025,2.46281E-05
,,,,26776.00205,2.28126E-05,26776.00205,1.40821E-05,27802.36839,1.8227E-05,27812.94001,2.25403E-05
,,,,28015.63932,2.15121E-05,28015.63932,1.35764E-05,29035.34094,1.75458E-05,28926.4839,2.12887E-05
,,,,29255.27658,2.03188E-05,29255.27658,1.30912E-05,30055.04255,1.6893E-05,30394.94309,1.99076E-05
,,,,30454.92554,0.000216145,30494.91384,1.26945E-05,31408.9321,1.62308E-05,31914.49845,1.89397E-05
,,,,30456.40659,1.9442E-05,31734.5511,1.24265E-05,32743.7796,1.54704E-05,33507.36568,1.82359E-05
,,,,31314.67397,0.0002161,32974.18837,1.21597E-05,34048.15982,1.47656E-05,34993.59746,1.76808E-05
,,,,31681.83926,1.90281E-05,34213.82563,1.1903E-05,35491.63354,1.40256E-05,36553.14111,1.73103E-05
,,,,32998.79655,1.85417E-05,35453.46289,1.1675E-05,36822.58608,1.33748E-05,38039.37288,1.7038E-05
,,,,34263.33495,1.80915E-05,36693.10016,1.15158E-05,38126.9663,1.27688E-05,39472.28692,1.723E-05
,,,,35493.45119,1.76568E-05,37932.73742,1.13507E-05,39292.33958,1.22627E-05,,
,,,,36885.35159,1.71925E-05,39172.37468,1.11777E-05,,,,
,,,,38170.84956,1.67706E-05,39892.16406,1.10809E-05,,,,
,,,,39393.05085,1.63581E-05,,,,,,
