QMD,,QMD Error High,,QMD Error Low,,exp,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Energy(MJ/kg),,exp Error Low Energy(MJ/kg),
Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg),Pressure (GPa),Energy(MJ/kg)
17.48704663,-0.06993007,17.44386874,4.44E-16,44.64594128,1.986013986,19.5164076,0.405594406,22.46689695,0.394133644,16.55992132,0.403846154,19.52840146,0.457264957,19.52840146,0.345571096
22.19343696,0.573426573,22.19343696,0.695804196,17.53022453,-0.090909091,22.52686624,0.505827506,25.58530033,0.500971251,19.58837075,0.505827506,22.58683554,0.568958819,22.52686624,0.432983683
25.82037997,0.902097902,25.82037997,1.104895105,22.15025907,0.461538462,23.66628286,0.602952603,26.72471694,0.598096348,20.84772596,0.607808858,23.72625216,0.69036519,23.66628286,0.505827506
30.22452504,1.293706294,30.18134715,1.534965035,25.82037997,0.70979021,25.8851468,0.7000777,29.84312032,0.695221445,21.92717329,0.695221445,25.8851468,0.797202797,25.9451161,0.598096348
34.71502591,1.72027972,34.67184801,2.013986014,30.18134715,1.059440559,27.20447131,0.797202797,31.16244483,0.797202797,23.36643638,0.802059052,27.20447131,0.923465423,27.20447131,0.680652681
44.60276339,2.583916084,44.55958549,3,34.71502591,1.41958042,28.64373441,0.904040404,32.54173863,0.899184149,24.5658223,0.891899767,28.52379582,1.20027195,28.64373441,0.598096348
,,,,,,29.90308962,1.001165501,34.88054116,1.003593629,25.04557666,0.989024864,29.90308962,1.151709402,29.90308962,0.850621601
,,,,,,31.82210708,1.108003108,36.79955863,1.098290598,26.84465554,1.112859363,31.82210708,1.253690754,31.82210708,0.938034188
,,,,,,33.50124736,1.20027195,38.47869891,1.197843823,28.46382652,1.205128205,33.50124736,1.37995338,33.50124736,1.025446775
,,,,,,34.52072539,1.299825175,39.46819229,1.29496892,29.48330455,1.302253302,34.52072539,1.491647242,34.52072539,1.112859363
,,,,,,35.00047975,1.399378399,39.9779313,1.404234654,30.02302821,1.394522145,35.0304644,1.608197358,35.06044905,1.185703186
