QMD,,QMD Error High,,QMD Error Low,,exp,,exp Error High Pressure (GPa),,exp Error Low Pressure (GPa),,exp Error High Temperature(K),,exp Error Low Temperature(K),
Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K),Pressure (GPa),Temperature(K)
10047.61905,-0.074381868,9952.380952,0.000286846,10000,-0.091346154,13619.04762,0.400428248,15575.91123,0.407751331,11626.02881,0.398266813,13692.82775,0.45700926,13600.97002,0.335908247
15000,0.576781674,15000,0.69895362,15000,0.461397059,16999.70606,0.499280442,19433.93592,0.50562034,14473.61846,0.502767971,16953.77719,0.56802177,16999.70606,0.433816222
20000,0.905542986,20000,1.105769231,20000,0.708710407,18239.78542,0.600644773,21041.44621,0.597133864,15667.76896,0.597589776,18331.64315,0.685740465,18285.71429,0.51553739
25000,1.295390271,25000,1.532946833,25000,1.05783371,20765.87302,0.69699018,23843.107,0.70491213,17688.63904,0.698887863,20811.80188,0.800092429,20811.80188,0.60369977
30000,1.719174208,30000,2.014423077,30047.61905,1.417133969,22189.66784,0.796702318,25496.54615,0.799694968,18928.7184,0.800252193,22235.59671,0.917807228,22189.66784,0.682139933
,,,,,,23797.17813,0.901308686,27379.62963,0.901004745,20260.6555,0.898335519,23797.17813,1.192624464,23774.2137,0.606721645
,,,,,,25220.97296,0.999384219,28941.21105,1.00561501,21454.806,0.996430535,25220.97296,1.146678713,25220.97296,0.852089724
,,,,,,27379.62963,1.100670615,31421.36978,1.103600919,23337.88948,1.097740312,27287.7719,1.261065748,27379.62963,0.937010066
,,,,,,29262.71311,1.198707181,33625.95532,1.201610208,24945.39976,1.199073469,29239.74868,1.382008945,29308.64198,1.01867668
,,,,,,30319.07701,1.300087099,34866.03469,1.293154905,25863.97707,1.297191866,30365.00588,1.486656229,30387.97031,1.106961805
,,,,,,31008.00999,1.398224978,35509.0388,1.394569893,26415.12346,1.398614646,30962.08113,1.601167956,30962.08113,1.188743371
