QMD,,exp,,SQAA,,SCAALP,,Plasma,,COMPTRA,
Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m),Temperature(K),Resistivity( ? m)
10003.11805,6.09271E-05,13587.64595,3.47951E-05,10630.93403,0.000205906,10653.75351,2.71392E-05,10593.37571,7.4361E-05,10558.57665,0.000153139
14937.5159,3.03064E-05,16959.48995,3.16763E-05,11873.07532,0.000147633,11893.24512,2.46208E-05,11931.18936,6.58782E-05,12015.48216,0.000102356
19971.69138,2.13878E-05,18282.52825,2.98922E-05,13115.18603,0.00010614,13132.7296,2.23503E-05,13180.58556,5.87935E-05,13318.19976,7.93719E-05
24980.26602,1.46601E-05,20746.1168,2.90509E-05,14357.32528,7.61159E-05,14372.22019,2.02782E-05,14455.95679,5.23806E-05,14678.97266,6.33822E-05
30011.81577,1.30628E-05,22198.96448,2.70188E-05,15598.61835,5.88443E-05,15611.55174,1.86598E-05,15793.55495,4.73018E-05,16101.21922,5.18165E-05
39997.37427,1.01468E-05,23806.97623,2.60624E-05,16839.0632,4.90509E-05,16850.75076,1.73739E-05,17073.44358,4.35129E-05,17459.64381,4.33815E-05
,,25207.80169,2.45949E-05,18009.02219,4.12554E-05,18089.93142,1.6203E-05,18433.63045,3.98293E-05,18899.58795,3.69466E-05
,,27360.65184,2.30458E-05,19319.98144,3.39963E-05,19329.12636,1.50919E-05,19787.19792,3.63326E-05,20457.56339,3.0956E-05
,,29253.96526,2.20701E-05,20559.9043,2.96829E-05,20568.21323,1.41925E-05,21027.86359,3.21717E-05,21746.45408,2.76133E-05
,,30343.47794,2.11315E-05,21799.244,2.72942E-05,21807.17572,1.34949E-05,22238.25448,2.83314E-05,22875.3615,2.64146E-05
,,30914.24539,2.05274E-05,23019.28273,2.51326E-05,23046.15044,1.28177E-05,23727.23511,2.41093E-05,24072.85428,2.37738E-05
,,,,24605.65999,2.27501E-05,24285.11701,1.21833E-05,24976.79474,2.12065E-05,25467.86435,2.23289E-05
,,,,25837.09069,2.07701E-05,25524.0428,1.16223E-05,26235.35845,1.969E-05,27221.3194,2.1013E-05
,,,,27126.01747,1.86971E-05,26762.82178,1.12327E-05,27565.78704,1.83237E-05,28764.64506,1.9551E-05
,,,,28316.15955,1.69647E-05,28001.62523,1.08325E-05,28895.35013,1.70534E-05,30017.20842,1.91426E-05
,,,,29555.63383,1.54142E-05,29240.4348,1.04409E-05,30249.57377,1.59691E-05,31022.96183,1.82131E-05
,,,,30794.8777,1.42949E-05,30479.17708,1.01238E-05,31593.01727,1.53814E-05,32417.46335,1.7036E-05
,,,,32033.95642,1.34527E-05,31717.8276,9.89662E-06,32936.49387,1.47718E-05,34009.10709,1.64813E-05
,,,,33273.04329,1.2651E-05,31696.18075,8.05252E-06,34384.60703,1.41735E-05,35494.10031,1.61182E-05
,,,,34512.122,1.19057E-05,33036.38863,9.66248E-06,35718.54057,1.36501E-05,37085.56706,1.58403E-05
,,,,35751.20887,1.11962E-05,34275.04119,9.44395E-06,37022.03445,1.31494E-05,38676.9987,1.56159E-05
,,,,36990.29166,1.05328E-05,35513.69274,9.23119E-06,38441.59217,1.26403E-05,39782.28607,1.55423E-05
,,,,38229.37854,9.90511E-06,36752.3402,9.0265E-06,39345.48349,1.23074E-05,,
,,,,39408.49488,9.35477E-06,37990.99073,8.82395E-06,,,,
,,,,,,39229.38474,8.82469E-06,,,,
,,,,,,39908.93592,8.49304E-06,,,,
