QMD,,exp,,SQAA,,SCAALP,,Plasma,,COMPTRA,
Temperature (K),Resistivity( ohms) ,Temperature (K),Resistivity( ohms) ,Temperature (K),Resistivity( ohms) ,Temperature (K),Resistivity( ohms) ,Temperature (K),Resistivity( ohms) ,Temperature (K),Resistivity( ohms) 
10035.35582,0.000177498,17336.33271,4.56857E-05,10694.76399,0.000170673,10631.92953,0.000148715,10804.09086,6.76371E-05,10418.11209,6.46188E-05
15007.289,7.00776E-05,17703.29597,4.50103E-05,11931.05518,0.000138877,11849.69598,0.000122307,12085.02079,5.94436E-05,11760.67563,5.49703E-05
18017.39305,4.27446E-05,18646.67639,4.24182E-05,13167.35048,0.000113045,13086.04687,0.000100045,13492.59745,5.16026E-05,13135.36777,4.62096E-05
25040.04759,2.67983E-05,19537.77711,4.05689E-05,14403.63754,9.1952E-05,14322.39777,8.18345E-05,14829.83977,4.51397E-05,14637.36874,3.94494E-05
30021.3643,2.41167E-05,20376.59813,3.93763E-05,15639.92872,7.48215E-05,15559.08221,6.89284E-05,16069.93347,3.98947E-05,16070.67763,3.4647E-05
,,21267.86642,3.82178E-05,16794.81567,6.18132E-05,16796.19903,6.03042E-05,17363.91929,3.50046E-05,17591.23144,3.06114E-05
,,22158.96714,3.65516E-05,18112.49462,4.94685E-05,18033.21455,5.22919E-05,18701.16691,3.06347E-05,19044.73529,2.74018E-05
,,22551.98646,3.54848E-05,19348.80639,4.03255E-05,19270.20841,4.5258E-05,19941.30207,2.71739E-05,20498.27974,2.46164E-05
,,23443.17096,3.41884E-05,20585.78114,3.48427E-05,20507.70995,4.09558E-05,21259.59124,2.53388E-05,22039.10279,2.23124E-05
,,24307.71293,3.17501E-05,21823.54241,3.22579E-05,21745.32286,3.74268E-05,22588.75719,2.37971E-05,23556.46872,2.04981E-05
,,25199.065,3.10435E-05,23061.32015,2.99081E-05,22983.05144,3.4551E-05,23891.40815,2.24198E-05,25073.93678,1.90009E-05
,,26064.10965,3.01306E-05,24299.09789,2.77295E-05,24220.87627,3.21669E-05,25270.09868,2.09978E-05,26591.55164,1.78416E-05
,,,,25536.8674,2.56909E-05,25458.53628,2.9517E-05,26612.68079,1.97392E-05,28182.62461,1.70577E-05
,,,,26774.64308,2.38152E-05,26696.06518,2.67754E-05,27955.24854,1.85327E-05,29667.26701,1.64796E-05
,,,,28012.4167,2.20724E-05,27933.81444,2.47629E-05,29366.37245,1.73595E-05,31258.57473,1.60837E-05
,,,,29250.19239,2.04609E-05,29171.64777,2.30714E-05,30695.85215,1.67586E-05,32710.14892,1.58536E-05
,,,,30488.22132,1.93935E-05,30409.52434,2.15773E-05,32029.50797,1.65875E-05,34301.56159,1.56159E-05
,,,,31726.65174,1.90413E-05,31647.52239,2.03962E-05,33458.33635,1.64745E-05,35839.73522,1.54302E-05
,,,,32891.07326,1.86691E-05,32885.52044,1.92798E-05,34811.03398,1.63279E-05,37630.27793,1.54437E-05
,,,,34384.3395,1.84743E-05,34123.42583,1.80769E-05,36144.69589,1.61699E-05,38756.44839,1.53193E-05
,,,,35441.9842,1.80881E-05,35361.52786,1.72442E-05,37596.43025,1.60419E-05,39695.05639,1.48421E-05
,,,,36680.41463,1.77597E-05,36599.61341,1.64261E-05,38926.20063,1.58871E-05,,
,,,,37918.86564,1.74687E-05,38277.13023,1.55293E-05,39635.7989,1.57507E-05,,
,,,,39157.29401,1.71484E-05,39455.42528,1.49803E-05,,,,
,,,,39876.42774,1.70343E-05,,,,,,
