QMD,,exp.,,SQAA,,SCAALP,,Plasma,,COMPTRA,
Temperature (K),Resistivity( ? m),Temperature (K),Resistivity( ? m),Temperature (K),Resistivity( ? m),Temperature (K),Resistivity( ? m),Temperature (K),Resistivity( ? m),Temperature (K),Resistivity( ? m)
11695.66095,6.63886E-05,13923.53884,6.83324E-05,10675.56169,0.012313463,10639.07808,1.38837E-05,10609.06861,0.000481698,10871.95776,1.64283E-05
16396.39954,4.383E-05,14467.34684,5.94721E-05,11911.59132,0.006422857,11878.61286,1.39017E-05,11944.89803,0.00036796,12660.61902,2.13386E-05
24710.78418,2.78003E-05,14912.74295,5.7852E-05,13147.92684,0.003546442,13118.23338,1.41436E-05,13171.92249,0.000288267,14253.73949,2.29611E-05
,,15258.97934,5.47292E-05,14384.55463,0.002067625,14357.85584,1.43949E-05,14427.13201,0.000223939,15706.48944,2.28336E-05
,,15605.06617,5.03541E-05,15621.47663,0.001273277,15597.38868,1.44084E-05,15765.43294,0.00017176,17298.85759,2.13606E-05
,,15976.0551,4.76366E-05,16858.70062,0.000829422,16836.81435,1.41372E-05,17006.50334,0.000134339,18817.70875,1.92113E-05
,,,,18096.08828,0.000556996,18076.24198,1.38762E-05,18301.51027,0.00010358,20409.8655,1.72788E-05
,,,,19333.65519,0.000386734,19315.66765,1.3615E-05,19637.77192,7.96714E-05,21895.42614,1.56275E-05
,,,,20571.44227,0.000279745,20555.10697,1.33927E-05,20939.25226,6.79949E-05,23381.13442,1.45277E-05
,,,,21809.47874,0.000211965,21794.61815,1.33514E-05,22217.79299,6.01995E-05,24973.62069,1.38924E-05
,,,,23047.52106,0.000160782,23033.87843,1.27032E-05,23570.90195,5.32331E-05,26512.86292,1.34566E-05
,,,,24285.56533,0.000122002,24273.30773,1.24725E-05,24874.51735,4.71726E-05,28018.92939,1.33906E-05
,,,,25523.7908,9.57499E-05,25512.64197,1.20313E-05,26317.15561,4.13508E-05,29644.88671,1.31684E-05
,,,,26762.28319,7.89729E-05,26751.98553,1.16259E-05,27647.32783,3.65537E-05,31097.61654,1.30463E-05
,,,,28000.7678,6.50411E-05,27991.40808,1.14005E-05,28976.63139,3.22939E-05,32690.30749,1.29602E-05
,,,,29239.2563,5.36059E-05,29230.68741,1.08855E-05,30330.82382,2.92638E-05,34282.98368,1.28392E-05
,,,,30477.88508,4.53494E-05,30470.17114,1.07966E-05,31665.47337,2.8831E-05,35735.74035,1.27839E-05
,,,,31716.74183,4.00268E-05,31709.44487,1.02981E-05,33000.14017,2.84959E-05,37361.75807,1.27139E-05
,,,,32955.59273,3.52905E-05,32948.70497,9.79776E-06,34448.99767,2.78963E-05,39147.10454,1.12871E-05
,,,,34194.45142,3.11597E-05,34187.97302,9.33554E-06,35783.66735,2.75869E-05,,
,,,,35455.31241,2.75672E-05,35427.29933,8.99205E-06,37118.31114,2.71498E-05,,
,,,,36672.15907,2.42482E-05,36666.67435,8.74005E-06,38567.19454,2.67068E-05,,
,,,,37911.01386,2.13944E-05,37906.00845,8.43069E-06,39511.48921,2.61782E-05,,
,,,,39149.87256,1.88902E-05,39145.3927,8.20851E-06,,,,
,,,,39869.20387,1.75534E-05,39864.9517,7.95767E-06,,,,
