liquid Ni40 Cu60,,3rd order polymnomial fit,
"Temperature, K",Resistivity 10^-8 ?m,"Temperature, K",Resistivity 10^-8 ?m
1366.685912,65.42,1362.426034,65.41579447
1386.893764,65.59333333,1373.773123,65.51049816
1408.718245,65.96666667,1383.666267,65.57766839
1430.542725,65.78,1394.286383,65.65102476
1450.750577,66.11333333,1404.906499,65.72861831
1471.766744,66.04666667,1415.526616,65.8001209
1492.78291,66.15333333,1426.146732,65.84035955
1514.60739,66.71333333,1436.766848,65.93895509
1536.431871,66.76666667,1447.386965,66.01641623
1557.448037,67.27333333,1458.007081,66.09182499
1578.464203,67.44666667,1468.627197,66.16994819
1609.180139,68.1,1479.247314,66.25336788
1630.196305,68.38,1489.86743,66.34651986
1631.812933,69.14,1500.487546,66.44642487
1651.212471,69.42,1511.107663,66.55586356
,,1521.727779,66.67324698
,,1532.347895,66.77258124
,,1541.450852,66.92016926
,,1550.048089,67.04900145
,,1560.162485,67.2335817
,,1570.782602,67.38569085
,,1579.885559,67.53538946
,,1588.229936,67.71691998
,,1596.827173,67.901515
,,1605.17155,68.07772376
,,1612.251627,68.25536819
,,1620.090285,68.46190415
,,1625.147483,68.59259499
,,1638.700774,68.98591883
,,1644.870556,69.16923359
,,1651.192054,69.39790895
,,1656.502112,69.54479598
,,1660.547871,69.68747841
