Liquid,,Solid,
"Temperature, K",Resistivity 10^-8 ?m,"Temperature, K",Resistivity 10^-8 ?m
1270.918998,149.3821874,1264.444569,121.5608711
1273.201897,147.1916414,1271.967452,119.8143846
1275.335811,145.3973336,1277.698099,118.1496059
1277.372764,143.6819176,1282.824637,116.4519364
1279.998606,141.8759412,1289.160273,114.7510048
1285.935952,139.3645796,1296.169761,112.881022
1293.338285,137.0379838,1306.551821,112.125535
1302.815872,135.4288645,1317.072942,111.8318224
1313.428674,134.2596664,1328.740199,111.8198662
1323.954416,134.0656969,1338.552548,111.9339082
1334.920909,134.4248655,1349.250036,112.2359542
1345.963313,134.5115096,1360.114193,112.357492
1355.86272,134.4859101,1370.794365,112.9642296
1367.155722,134.9505855,1381.535628,113.4278428
1377.836611,134.8808262,1392.280344,113.6204395
1388.755892,135.4308645,1403.020523,114.1690831
1399.640345,136.0268015,1413.763711,114.4816645
1409.823785,136.6838436,1424.504126,115.0117723
1420.866367,136.9288017,1435.247066,115.3438072
1431.602484,137.7962325,1445.986902,115.9194056
1441.330553,138.7029805,1456.727933,116.4011787
1445.48845,139.9765282,1467.469257,116.8600503
1455.961833,139.6243253,1478.206109,117.6697649
1467.203214,139.289504,1488.948722,118.02746
1477.922387,139.9363159,1499.689314,118.5437395
1488.658896,140.7730007,1510.431225,118.9564536
1499.404253,140.9153199,1521.17279,119.3963537
1510.144832,141.4325985,1531.913345,119.9155459
1520.881098,142.2883962,1541.648331,120.2794736
1531.837498,142.9228327,,
1542.185047,143.2763789,,
1552.90398,143.6319278,,
1564.098861,144.4656826,,
1574.582435,144.9970927,,
1585.694314,145.506617,,
1596.35873,146.1258389,,
1606.800689,146.8222493,,
1617.543111,147.1949038,,
1628.283456,147.7306018,,
1639.020682,148.5109729,,
1649.762041,148.967055,,
1660.504483,149.3381581,,
1667.554986,149.5208204,,
