graph (a) Measured time traces of current,,graph (a) time traces of ohmic voltage,,Computed time traces of mass density graph (b),,Computed time traces of pressure (graph c),,Computed time traces of temperature (graph d),,Computed time traces of conductivity (graph e),
Time (?sec ),I(kA). V(kV),Time (?sec ),I(kA). V(kV),Time (?sec ),log 10 ?(gm/cm3),Time (?sec ),P (kB),Time (?sec ),T (kK),Time (?sec ),log10 ?(S/m)
0.073363219,0.074329186,0.554695619,0.048376317,0.049384347,0.983757981,0.5891877,-0.264879111,0.030445351,0.095296463,1.106309933,4.007611498
0.212125713,3.674627225,0.624076866,0.092044051,0.118666615,0.983063422,0.658520291,-0.263276729,0.099792512,0.130149804,1.113238177,6.00877628
0.28150696,6.034049955,0.693458113,0.114473544,0.187955666,0.985586173,0.727854913,-0.237604762,0.169101805,0.075254709,1.103382741,3.037056815
0.350888207,8.445388387,0.76283936,0.162546247,0.257239631,0.985695941,0.797192243,-0.179840016,0.238432301,0.07060945,1.103078679,2.097492701
0.41810129,10.68005821,0.832220607,0.295414598,0.326540552,0.993848984,0.866523479,-0.194284024,0.307741594,0.015714355,1.114366835,4.975382531
0.472546296,12.48586777,0.908106346,1.348285825,0.39582282,0.993154425,0.935854716,-0.208728031,0.377081044,0.032290597,1.111311439,5.397547367
0.546022964,14.98280196,0.965442237,2.02453274,0.465105089,0.992459866,1.005185953,-0.223172039,0.446434103,0.081120544,1.10947163,4.347016794
0.663103818,18.56015227,1.036895285,3.896215044,0.534387357,0.991765307,1.114761129,1.653069807,0.515782171,0.118124132,1.108245091,3.646663078
0.732485064,20.52784742,1.10757743,5.854375323,0.603652079,0.982747783,1.133518793,24.86596515,0.585126276,0.145732578,1.106405283,2.596132505
0.801866311,22.43890726,1.180331377,7.487674139,0.672921888,0.97614324,1.13025842,18.42909722,0.654482175,0.201294234,1.16471713,6.176138116
0.871247558,24.08566898,1.253041522,9.816389164,0.74219907,0.973035699,1.127690998,13.67981723,0.723848655,0.281930644,1.225046848,5.955671589
0.940628805,25.60028163,1.308783046,11.9637459,0.811468879,0.966431157,1.125107326,8.737980571,0.793241487,0.425024546,1.285265632,5.671861855
1.010010052,26.7184471,1.394563497,15.42718091,0.880734279,0.957735363,1.172267492,33.14049229,0.862671113,0.655318146,1.345469293,5.379416806
1.079391299,27.27025944,1.46315632,18.45480002,0.950018582,0.958005997,1.145601929,42.15357941,0.93215133,1.005512393,1.405637493,5.066723437
1.148772546,27.39258733,1.546729186,19.60471707,1.019288626,0.951512986,1.146864095,38.64444422,1.001609752,1.30405196,1.465892638,4.80367588
1.218153792,26.97216014,1.619264126,19.62989423,1.088401325,0.870385681,1.166517212,47.8832328,1.071340356,2.247665625,1.521142423,4.60416544
1.287535039,25.85323077,1.670680586,17.53809849,1.15756659,0.814192528,1.199176599,24.44466492,1.130417836,3.618047233,1.575687829,4.350105043
1.354748122,24.00229209,1.716831504,15.28906996,1.22654058,0.667271238,1.252430597,19.05134671,1.189575362,5.178139269,1.633727317,4.060085956
1.413288549,21.66083709,1.766699275,12.57005462,1.295441316,0.485603002,1.242634605,15.00379108,1.250824739,6.560983978,1.694290283,3.97280405
1.470177042,17.43357762,1.821337007,9.887186867,1.364313564,0.290422064,1.29741433,22.2766507,1.2937512,8.165462902,1.754638396,3.762841135
1.441474681,20.3058099,1.889417356,7.495946464,1.433116288,0.062263701,1.345324639,25.17096416,1.331733393,9.865070955,1.815022491,3.573424312
1.527912151,15.26151243,1.956955663,6.080761134,1.502197786,-0.033663228,1.399244962,22.25991887,1.35971859,11.34948864,1.875470209,3.420335361
1.573732683,12.89573756,2.026878951,5.386556749,1.571065625,-0.230935417,1.453065064,18.16126243,1.435530956,12.98017893,1.935942957,3.281539342
1.606255142,10.68666662,2.105800119,4.867260223,1.640086416,-0.35565727,1.522100425,14.64068227,1.505397653,14.24632965,1.996510728,3.114456277
