Loci of first grid radii from code,,Loci of second grid radii from code,,Loci of third grid radii from code,,Loci of fourth grid radii from code,,Loci of fifth grid radii from code,,comparison of computed plasma radius with streak picture,,Error bar low,,Error bar high,
Time (?sec),Radius (mm),Time (?sec),Radius (mm),Time (?sec),Radius (mm),Time (?sec),Radius (mm),Time (?sec),Radius (mm),Time (?sec),Radius (mm),Time (?sec),Radius (mm),Time (?sec),Radius (mm)
0.097094546,2.829357495,0.07672766,2.171595205,0.085638172,1.492944761,0.177289162,0.804435944,0.144065678,0.150447672,1.009487515,0.12287037,1.014449605,0.070787037,1.009487515,0.180740741
0.280396526,2.829461878,0.268940152,2.157863071,0.268940152,1.479792531,0.360591142,0.804853475,0.326222021,0.130123185,1.738914692,0.782592593,1.753800961,0.730509259,1.743876781,0.843356481
0.463698505,2.829253112,0.452242132,2.157863071,0.452242132,1.479583766,0.543893121,0.805062241,0.509524,0.130123185,2.116033504,1.043009259,2.111071414,0.993819444,2.111071414,1.103773148
0.647000485,2.829253112,0.635544111,2.157863071,0.635544111,1.479792531,0.727195101,0.805062241,0.69282598,0.13033195,2.488190227,1.170324074,2.488190227,1.124027778,2.483228137,1.225300926
0.830302464,2.829253112,0.818846091,2.157863071,0.818846091,1.479792531,0.91049708,0.805062241,0.876127959,0.13033195,2.85538486,1.303425926,2.860346949,1.251342593,2.85042277,1.355509259
1.013604444,2.829253112,1.00214807,2.157863071,1.00214807,1.479792531,1.09379906,0.805062241,1.059429939,0.144925657,3.212655313,1.433634259,3.222579493,1.387337963,3.217617403,1.482824074
1.196906423,2.829253112,1.18545005,2.157863071,1.18545005,1.479792531,1.277101039,0.813412863,1.242731918,0.187533714,3.589774126,1.526226852,3.589774126,1.477037037,3.584812036,1.575416667
1.380208403,2.829253112,1.368752029,2.157863071,1.368752029,1.481462656,1.454674832,0.863405256,1.391664777,0.295674274,3.956968759,1.694050926,3.961930848,1.653541667,3.961930848,1.743240741
1.563510382,2.829461878,1.552054009,2.157863071,1.552054009,1.498581432,1.723899614,1.010452758,1.500500327,0.40868603,4.319201302,1.769282407,4.324163392,1.722986111,4.324163392,1.827152778
1.746812362,2.831549533,1.735355988,2.166422459,1.735355988,1.5484764,1.907201594,1.121759595,1.60360769,0.521512218,4.681433845,1.84162037,4.686395935,1.786643519,4.691358025,1.890810185
1.93449472,2.834361728,1.92371225,2.19499878,1.92371225,1.615170857,2.105044355,1.237752952,1.706715054,0.633893038,5.068476837,1.893703704,5.063514747,1.838726852,5.058552658,1.942893519
