T = 10000 Ebeling et al (solid line),,T = 10000 Lee and More (dotted line),,T=10000 Ichimaru and Tanaka (dashed line),,T=10000 Kurilenkov and Valuev (dashed-dotted line),,T=10000 crosses,,T=14000 Ebeling et al (solid line),,T=14000 Lee and More (dotted Line),,T=14000 Ichimaru and Tanaka (dashed line),,T=14000 Kurilenkov and Valuev (dashed-dotted line),,T=14000 crosses,,T=20000 Ebling et al (solid Line),,T=20000 Lee and Moore (dotted Line),,T=20000 Ichimaru and Tanaka (dashed line),,T=20000 Kurilenkov and Valuev (dashed-dotted line),,T=20000 crosses,,T=30000 Ebling et al (solid line),,T=30000 Ichimaru and Tanaka (dashed line),,T=30000 Lee and Moore (dotted line),,T=30000 Kurilenkov and Valuev(dashed-dotted line),,T=30000 crosses,
log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m)
-2.933626762,3.660373214,-2.96120305,4.256254209,-2.971727904,3.527266005,-1.757084693,4.355096199,-1.50769212,4.117689618,-2.943966619,3.898050347,-2.945808362,4.304662303,-2.956985296,3.702179004,-1.346785495,4.561762859,-1.707070045,4.243772617,-2.930615493,4.133288351,-2.976200081,4.370376854,-2.97020626,3.866300135,-0.970162718,4.766439214,-1.721283171,4.240805619,-2.931037418,4.297537322,-2.96474703,4.093910275,-2.93525112,4.501369097,-0.433461638,5.012130598,-1.742379386,4.563082617
-2.848634672,3.656274114,-2.834912608,4.266556665,-2.911918576,3.532343439,-1.658966137,4.392735676,-1.77199908,3.763941397,-2.859130981,3.915525648,-2.813304111,4.343913658,-2.860588987,3.712550513,-1.249952746,4.600259821,-1.67545531,4.23381522,-2.844809208,4.140067736,-2.87323254,4.413708569,-2.876082762,3.890116736,-0.876627558,4.802535248,-1.66064123,4.241473324,-2.846763389,4.326106722,-2.858182007,4.10823747,-2.816373663,4.535100584,-0.347655354,5.072484492,-1.678305966,4.563082617
-2.763618479,3.64552284,-2.742044591,4.287487673,-2.768609067,3.557067763,-1.550239776,4.434336132,-1.458044186,3.917946394,-2.774295056,3.933080616,-2.677275317,4.389775945,-2.748543778,3.728313955,-1.129259459,4.643814389,-1.662759629,4.24360666,-2.759002924,4.15079609,-2.759002924,4.448021837,-2.764365817,3.913088693,-0.745236685,4.854298635,-1.604065658,4.235222551,-2.760957104,4.341973195,-2.720735408,4.131102653,-2.699283837,4.567584202,-0.273306158,5.09789876,-1.556566467,4.651138826
-2.678624928,3.641020325,-2.613842938,4.328717651,-2.678403122,3.57980194,-1.465375823,4.465602736,-1.422937152,3.873466773,-2.689521017,3.933513559,-2.554965451,4.409415552,-2.649640039,3.745502975,-1.031110716,4.679938816,-1.643840575,4.223857823,-2.673196639,4.163893825,-2.629757208,4.489438369,-2.684653729,3.935638352,-0.626590173,4.890361336,-1.601958807,4.1640017,-2.67515082,4.354256915,-2.620510241,4.142110761,-2.560614753,4.606073194,-0.149228321,5.149883754,-1.505307731,4.641354803
-2.593609572,3.630499987,-2.533823375,4.353333446,-2.598784904,3.593034167,-1.362815027,4.498732143,-1.464712113,3.829281719,-2.604711653,3.94371979,-2.460427308,4.430825812,-2.5523594,3.769269648,-0.952499165,4.707793643,-1.624885959,4.213947842,-2.587390355,4.179097678,-2.485495392,4.528059416,-2.592753248,3.956707416,-0.511950849,4.940973357,-1.544307709,4.229181385,-2.587020615,4.373501411,-2.522308376,4.163859242,-2.407389245,4.654038199,-0.058059144,5.184772933,-1.543751783,4.592434687
-2.512399443,3.623180984,-2.426381306,4.382933957,-2.51847042,3.623505118,-1.301983524,4.51773494,-1.527495058,3.796263433,-2.519881767,3.959604005,-2.335297825,4.455748886,-2.469300451,3.78108382,-0.890526639,4.729646721,-1.587083413,4.164611312,-2.494433547,4.191816997,-2.351423073,4.551239544,-2.506946963,3.974343332,-0.426144565,4.972568256,-1.50676746,4.251717799,-2.503538251,4.387525326,-2.42183944,4.186635307,-2.28902254,4.686599808,0.030916123,5.21827399,-1.518122415,4.533730548
-2.423621758,3.621298861,-2.32737654,4.420289222,-2.428936534,3.62231963,-1.1822973,4.549891097,-1.533921975,3.641080168,-2.435080056,3.967692811,-2.196639062,4.496307296,-2.361479741,3.808443768,-0.782655027,4.768359688,-1.574707791,4.085853044,-2.414526444,4.204989988,-2.223249935,4.572125546,-2.421140679,4.000757093,-0.34033828,4.996612635,-1.414360692,4.250723429,-2.416199711,4.406024025,-2.324996115,4.197413269,-2.163888375,4.71799154,0.097464747,5.23868482,-1.364346206,4.670706873
-2.338584519,3.604738397,-2.211582253,4.465618507,-2.354686362,3.651275069,-1.096661748,4.577604433,-1.464471103,3.762763129,-2.350271869,3.977573533,-2.077684515,4.529978838,-2.247238766,3.833325675,-0.688969639,4.791170176,-1.524387374,3.997113671,-2.329971502,4.217864355,-2.142270254,4.589927884,-2.335334394,4.025328002,-0.254531996,4.999179786,-1.361969355,4.271667012,-2.331925682,4.424888311,-2.217005065,4.224766024,-2.014174285,4.750918736,0.217363707,5.275243513,-1.325902154,4.660922849
-2.258874827,3.592723989,-2.0917578,4.522445789,-2.179629307,3.708820934,-0.97550798,4.609574443,-1.471098861,3.663012022,-2.265466997,3.98653701,-1.984065833,4.557601586,-2.15466174,3.859653577,-0.574946922,4.821522011,-1.618947083,4.105696713,-2.244165217,4.23491106,-2.005028953,4.609505898,-2.24952811,4.032370651,-0.168725712,5.03923912,-1.268737527,4.17588822,-2.246119397,4.442290248,-2.111595177,4.233466993,-1.92488212,4.75265893,0.306617565,5.30555342,,
-2.163217965,3.576862485,-1.990499265,4.593906499,-2.131896672,3.727329838,-0.881768262,4.634225425,-1.450131045,3.662931685,-2.180670025,3.993314885,-1.868504379,4.606488192,-1.988625031,3.911349545,-0.471513233,4.853957589,-1.682318802,4.086256081,-2.158358933,4.2516945,-1.874125615,4.649275861,-2.160518154,4.045837691,-0.079715756,5.064171798,-1.211808357,4.189072663,-2.160313113,4.458412632,-1.987911883,4.267079628,-1.817624264,4.771493968,0.39242385,5.321761409,,
-2.078184223,3.561267337,-1.882150474,4.635011959,-1.980441712,3.779845866,-0.788032994,4.660104992,-1.408556926,3.762548898,-2.095883816,3.997114911,-1.736579427,4.668698904,-1.884164937,3.938377157,-0.399228285,4.882402197,-1.834418039,4.037630793,-2.072552648,4.268741205,-1.742734742,4.687384591,-2.077915541,4.061645387,0.008014728,5.088783755,-1.158666965,4.185422683,-2.074506829,4.478629589,-1.886494326,4.288291326,-1.663479403,4.80105289,0.478230134,5.337918819,,
-1.993511947,3.529711426,-1.754959742,4.710946595,-1.788329182,3.857684795,-0.671036867,4.687838581,-1.373690901,3.784587868,-2.008165734,4.001987528,-1.594756692,4.746989918,-1.799288348,3.967182399,-0.322956002,4.910785458,-1.529863943,4.233269934,-1.988533995,4.277165529,-1.594718902,4.739049179,-1.99330101,4.05370662,0.126233391,5.114961422,-1.096059255,4.201982103,-1.991084052,4.49711204,-1.790809801,4.30389366,-1.535536104,4.832639601,0.542584848,5.364081137,,
-1.913434157,3.531827441,-1.633854159,4.791116778,-1.622885189,3.962466936,-0.58463473,4.713382689,-1.365978601,3.585005317,-1.926311398,4.004714962,-1.477812148,4.810903768,-1.714385129,4.003355064,-0.238113847,4.930063727,-1.504685953,4.193819676,-1.900940079,4.310469288,-1.464460195,4.794900431,-1.903099301,4.08100972,0.212039676,5.149562403,-1.034832895,4.189835144,-1.904750646,4.523236819,-1.687545069,4.325939927,-1.401463785,4.869490764,0.651758022,5.398665661,,
