T=10000 Ebeling et al (solid line),,T=10000 Lee and More (dotted line),,T=10000 Ichimaru and Tanaka (dashed line),,T=10000 Kurilenkov and Valuev (dashed-dotted line),,T=10000 crosses,,T=14000 Ebeling et al (solid line),,T=14000 Lee and More (dotted line),,T=14000 Ichimaru and Tanaka (dashed line),,T=14000 Kurilenkov and Valuev (dashed-dotted line),,T=14000 crosses,,T=20000 Eveling et al (solid line),,T=20000 Lee and More (Dotted Line),,T=20000 Ichimaru and Tanaka (Dashed line),,T=20000 Kurilenkov and Valuev (dashed-dotted line),,T=20000 crosses,,T=30000 Ebeling et al (solid line),,T=30000 Lee and More ( dotted line),,T=30000 Ichimaru and Tanaka (dashed line),,T=30000 Kurilenkov and Valuev (dashed-dotted line),,T=30000 crosses,
log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m),log10 ?(g/cm^3),log10 ?(S/m)
-2.939931537,3.730964454,-2.938924798,4.250500839,-2.942005092,3.525956229,-1.737857747,4.366980522,-1.419486789,3.453504606,-2.961022165,3.987007674,-2.968749221,4.292778308,-2.964723942,3.685185362,-1.353676498,4.558007121,-1.500904576,3.949208762,-2.972698113,4.200551351,-2.834927858,4.424426595,-2.70224938,3.91814183,-0.972081021,4.770889613,-1.83839923,3.958827508,-2.944957328,4.403029185,-2.930697052,4.516561151,-2.931588319,4.102970894,-0.231363142,5.122926818,-2.432156057,4.041253186
-2.854972514,3.736564922,-2.807129069,4.275300062,-2.760065077,3.558436533,-1.648811556,4.401604667,-1.378587318,3.434654101,-2.8825719,3.999305164,-2.87195457,4.327712553,-2.873999707,3.704734674,-1.266083532,4.590762382,-1.483346818,3.803764836,-2.880493896,4.218369773,-2.675893452,4.474384146,-2.956377844,3.881953263,-0.886309656,4.799882896,-1.774011725,4.069936275,-2.858631729,4.414795861,-2.810732481,4.539480572,-2.824157386,4.1233992,-0.15051996,5.159516607,-2.400041018,4.110005832
-2.761638697,3.722716387,-2.674279849,4.311722395,-2.6802916,3.579924508,-1.535843919,4.445143333,-1.290153269,3.611885144,-2.776398608,4.009832516,-2.755694816,4.368026412,-2.755163949,3.728810708,-1.130712585,4.64308322,-1.413115786,3.875891621,-2.794722531,4.235422823,-2.486481687,4.528438836,-2.838178558,3.895435725,-0.812219078,4.839024908,-1.728940471,4.03939253,-2.773834018,4.43382372,-2.682924759,4.575727777,-2.712336578,4.137812352,-0.062599068,5.187881705,-2.367925978,4.119724541
-2.685159372,3.718951927,-2.544841824,4.348561637,-2.572774558,3.611372731,-1.447384969,4.47469845,-1.255072275,3.602403181,-2.691459974,4.017430605,-2.602982231,4.403946709,-2.663491573,3.748271838,-0.996521341,4.709005526,-1.354589926,3.820958874,-2.708951165,4.249841997,-2.387308546,4.544913466,-2.566320201,3.950139903,-0.726276686,4.877575847,-1.754695473,4.009121718,-2.688272362,4.448606614,-2.549234673,4.61140684,-2.598467927,4.152547296,0.021934202,5.207036231,-2.335810939,4.12944325
-2.600231582,3.715973561,-2.419935647,4.390464516,-2.473122549,3.633870827,-1.312605378,4.520574688,-1.249832243,3.43415505,-2.606521341,4.026058435,-2.522113574,4.419813384,-2.55874336,3.766976107,-0.913057337,4.71779157,-1.383852856,3.875671185,-2.6231798,4.268475372,-2.218446171,4.576290664,-2.394931236,3.982001329,-0.650438402,4.91031604,-1.696746718,4.039268469,-2.602710707,4.465949397,-2.432924298,4.646809677,-2.511801449,4.16891769,0.097829035,5.232249581,-2.297272891,4.158815881
-2.515315366,3.709816214,-2.27716295,4.444610563,-2.38805534,3.66918643,-1.214309664,4.544036391,-1.220433621,3.471425062,-2.521582707,4.04137958,-2.410100751,4.440937404,-2.458564065,3.790399275,-0.771619344,4.764976843,-1.331179582,3.857110441,-2.536789892,4.286802454,-2.076387347,4.606928311,-2.217632308,4.037069898,-0.564667037,4.927047477,-1.683869217,4.130329026,-2.517149052,4.487388005,-2.270624533,4.691460664,-2.408090302,4.182411914,0.192303363,5.260566509,-2.258734844,4.178349523
-2.430390469,3.706043103,-2.138163731,4.503817309,-2.318972547,3.688455108,-1.098433234,4.584561369,-0.974458347,3.51720162,-2.444607071,4.056127025,-2.281808023,4.471549703,-2.361564389,3.807820476,-0.692747756,4.783329941,-1.4072632,3.957585345,-2.430194229,4.312244177,-1.992402886,4.612223605,-2.052153307,4.045724181,-0.478895671,4.983414111,-1.696746718,4.180995418,-2.43235134,4.509451161,-2.14281681,4.717741364,-2.303244914,4.198855256,0.295690363,5.289276706,-2.162389725,4.158310701
-2.345491614,3.695117285,-1.998619496,4.556495688,-2.170244498,3.711922675,-1.003138347,4.618897041,-0.921785816,3.516997463,-2.351705441,4.07433879,-2.128210661,4.517348849,-2.261871514,3.834648226,-0.557376809,4.821028458,-1.331179582,3.966094189,-2.344422863,4.336672077,-1.805671476,4.666990991,-1.86303445,4.091455234,-0.393124306,4.992690693,-1.709624219,4.160798336,-2.346025742,4.530265219,-2.008591964,4.742308281,-2.185597638,4.232231254,0.393857084,5.311692059,-2.130274686,4.197546378
-2.250266537,3.685240554,-1.880196237,4.640398611,-1.976530875,3.774208584,-0.887480873,4.639048683,-0.921581659,3.573072612,-2.266766807,4.085540972,-1.998679245,4.557288136,-2.171210844,3.85235713,-0.472438175,4.834976616,-1.284358894,3.929413575,-2.258651498,4.360046427,-1.534955605,4.765683837,-1.685735521,4.15581577,-0.307352941,5.018253997,-1.625920461,4.028872182,-2.260464086,4.551959816,-1.875436638,4.761111363,-2.100035983,4.246287479,0.504246898,5.344642511,-2.059621599,4.19728176
