T=10000,,T=14000,,T=20000,,T=30000,
log 10 r,log10 ?(S/m),log 10 r,log10 ?(S/m),log 10 r,log10 ?(S/m),log 10 r,log10 ?(S/m)
0.092826071,3.749830265,0.018413681,4.248496833,0.034486049,4.297784659,0.000373536,4.331940291
0.112887926,4.007378916,0.062883922,4.03929634,0.031323144,4.190298989,0.020158278,4.331940291
0.144169404,3.749636427,0.070626223,4.218889493,0.085318451,4.250376082,-0.044142134,4.511661938
0.160411239,4.066603603,0.110484904,3.807445448,0.085318451,4.140254416,-0.073819247,4.521646474
0.1709821,3.859647921,0.113383608,3.987857726,0.133439793,4.253171699,-0.098550174,4.541615546
0.17524234,3.617079491,0.116312196,4.270239379,0.126169219,4.130854964,-0.044142134,4.571569154
0.193677558,3.697410618,0.116312196,4.170811199,0.136150854,3.817325287,-0.054034505,4.601522762
0.205064016,3.977886091,0.112686326,4.08179418,0.180883368,4.188253142,0.005319721,4.651445441
0.208514458,3.227241254,0.154383841,3.850055704,0.170813711,3.801745373,0.049835391,4.681399049
0.205064016,4.100295206,0.159822648,3.998004457,0.230586162,4.220042461,-0.00457265,4.671414513
0.210486139,3.859360624,0.163778143,4.227582812,0.227649179,4.12538268,-0.019411206,4.681399049
0.218232029,3.741367136,0.165261454,4.099492018,0.279757375,4.228318423,-0.014465021,4.491692866
0.224780827,3.44457159,0.175459216,3.74337118,0.272155771,4.119009079,,
0.239075514,3.646222307,0.203827536,3.862466844,0.323407743,4.227461468,,
0.239765603,3.527068899,0.208771905,3.995855373,0.359813425,4.226652122,,
0.255760865,3.257274712,0.195174889,4.245261472,0.411323593,4.341376944,,
0.273466182,3.415290093,0.208771905,4.054775776,0.459219012,4.379618552,,
0.275551614,3.705090671,0.221099866,3.75378009,0.504661566,4.447955312,,
0.288564709,3.598766047,0.245937082,3.706702554,0.533321359,4.458934478,,
0.303300125,3.232992387,0.250922655,3.503427637,0.184683405,4.216458267,,
0.32299519,3.15823031,0.261182221,3.404300712,0.155097326,4.175240055,,
0.313506475,3.380645263,0.252282356,3.793895307,0.086063142,4.164935502,,
0.302662229,3.526824605,0.297605743,3.50856368,0.026890984,4.267981033,,
0.35254576,3.235733881,0.30667042,3.390078096,0.120580234,4.247371927,,
0.369276882,3.145355842,0.329332113,3.582017917,0.135373274,4.247371927,,
0.410270515,3.176040255,0.346225376,3.466932997,0.189614418,4.113412736,,
0.425399375,3.311981937,0.356223989,3.368292655,0.278372655,4.195849161,,
0.45665052,3.236797798,0.396410726,3.401993426,0.278372655,4.195849161,,
0.473071807,3.376299455,0.464395805,3.858744575,0.42630305,4.350417458,,
0.514125023,3.48909546,0.473719474,3.618947709,0.460820142,4.412244777,,
0.499214185,3.328378382,0.475273418,4.117203076,0.485475208,4.42254933,,
0.52768033,3.420623986,0.516608347,3.823632736,,,,
0.559499631,3.589140015,0.518783869,3.993292084,,,,
0.571057314,3.4832217,0.516311685,3.692630071,,,,
