Mean Curve,
Width Factor,MSE
0.717776505,30.59742538
0.80186555,28.34354208
0.869136786,26.6586002
0.942013959,24.75118764
1.037314876,22.82918684
1.166251412,20.89259779
1.33122611,19.01123566
1.531438122,17.51385689
1.803225928,16.88265494
2.038908835,17.4185702
2.280652546,18.57709838
2.501585447,20.02350331
2.741519522,21.76355054
2.976968848,23.55165213
3.212418174,25.28140075
3.4478675,26.94932301
3.683316826,28.3202009
3.918766152,29.34471225
4.154215478,29.83821161
4.389664804,29.7728424
4.625114131,29.11664941
4.860563457,27.81628136
5.079194974,26.07265654
5.264190873,24.15915281
5.426763026,22.36615903
5.572517371,20.49442274
5.712665779,18.68262618
5.852814188,16.83349489
5.992962596,14.99696844
6.161140686,12.96567229
6.346136585,11.17352931
6.55355623,10.15703818
6.789005556,10.06225762
7.002031136,10.13659975
6.683775605,11.03767163
6.885836954,9.270912657
7.087898303,10.97457309
