Data from K&K,,Data from D&K,,Predictions from Kitimaru and Ichimaru,,Theoretical predictions from Dharma-Wardana and Perrot,,Theory of Redmer,,Data from BSM,
Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm)
0.039929513,0.011596588,0.015494923,0.010137223,0.002231654,0.008920302,0.01222674,0.004165408,0.001183301,0.004810453,1.739092725,0.000116591
0.050074206,0.009337342,0.017060171,0.008861511,0.002960719,0.008418949,0.016228082,0.004029972,0.001575701,0.004566614,,
0.05985384,0.008473003,0.018606712,0.010496938,0.004019045,0.007867141,0.021541784,0.004048587,0.002090624,0.00443546,,
0.130698955,0.005291736,0.019671104,0.009462203,0.005453552,0.007349731,0.028526789,0.004093119,0.002820049,0.004229506,,
0.148123197,0.004523262,0.021038013,0.009966151,0.007508465,0.006862839,0.037601442,0.003759844,0.003780951,0.004093886,,
0.299515802,0.003304904,0.025294466,0.009380725,0.009643649,0.006523292,0.049193418,0.003674535,0.005090309,0.003940669,,
0.396006376,0.002414716,0.023125811,0.008529467,0.012250252,0.006188716,0.067352979,0.003363497,0.006856409,0.003859356,,
0.498859101,0.001699604,0.02090986,0.008028434,0.016542768,0.00577218,0.088517012,0.00312787,0.009185169,0.003794345,,
,,0.019765636,0.006811918,0.02257184,0.005139596,0.115375925,0.003040679,0.012162626,0.003838903,,
,,0.025844061,0.006580304,0.029317942,0.004854359,0.152779376,0.002949059,0.016127753,0.00384365,,
,,0.024975239,0.004989514,0.039138426,0.004193591,0.202456549,0.002773237,0.021244873,0.003836663,,
,,0.028566804,0.00553514,0.049979694,0.003663453,0.267693275,0.002556306,0.02814133,0.003820312,,
,,0.035351393,0.007556832,0.067352979,0.003363497,0.354727726,0.002242188,0.037152653,0.003680451,,
,,0.040209783,0.008383206,0.087508611,0.003082508,0.462377082,0.001951255,0.048673794,0.003609876,,
,,0.224395453,0.004019404,0.119127516,0.002647869,0.594112494,0.001673855,0.064679461,0.003457301,,
,,,,0.151254582,0.002385821,0.795477694,0.001235493,0.084555871,0.003297493,,
,,,,0.195450773,0.002103298,0.956455159,0.000863218,0.112942666,0.003173904,,
,,,,0.268471165,0.001790026,1.22204092,0.00066718,0.148158685,0.003130025,,
,,,,0.361072107,0.00150374,1.42537324,0.000403153,0.194808105,0.002900987,,
,,,,0.48414392,0.001306327,1.602414296,0.000235934,0.25839366,0.002579951,,
,,,,0.64612469,0.001059223,1.816549668,0.000135111,0.341672701,0.002242278,,
,,,,0.835575882,0.000908073,1.986762854,0.000105987,0.448285166,0.001737484,,
,,,,1.095085129,0.000756039,2.241218338,7.01569E-05,,,,
,,,,1.402999886,0.000640991,,,,,,
,,,,1.848851203,0.000548403,,,,,,
