Data from D&K,,Predictions from Kitimaru and Ichimaru,,Theory of Redmer,,Theoretical predictions from Dharma-Wardana and Perrot,,Data from BSM,
Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm)
0.004095199,0.00814688,0.001829514,0.008480879,0.001155442,0.005297481,0.044246829,0.002834254,1.471414749,0.000172747
0.00502923,0.007707223,0.002345256,0.007994143,0.001556825,0.004954995,0.057858318,0.002549409,,
0.007030505,0.007141173,0.003000748,0.007574879,0.00206834,0.004598019,0.075982818,0.002332943,,
0.008749748,0.006259617,0.004015286,0.007087339,0.002733964,0.004132135,0.096623925,0.002177007,,
0.008143956,0.004979234,0.005465355,0.006567776,0.003634119,0.003721052,0.128967433,0.001937832,,
0.009960361,0.006391205,0.007156424,0.006076471,0.00496575,0.003378544,0.171018683,0.001766166,,
0.010793588,0.005963017,0.009439684,0.005931664,0.006456953,0.003144377,0.224052496,0.00164785,,
0.013797575,0.005083907,0.012426454,0.005386463,0.008645312,0.00293165,0.294363376,0.001497006,,
0.014622793,0.005119284,0.016003636,0.004865932,0.01148014,0.002798618,0.38985515,0.001296581,,
0.011847106,0.003284447,0.022068266,0.004165413,0.015768662,0.002572921,0.515156682,0.00110612,,
,,0.029530252,0.003650071,0.020989156,0.00242981,0.68150809,0.000946903,,
,,0.037609439,0.003285101,0.027941796,0.002265515,0.906364569,0.000782832,,
,,0.048378297,0.002946126,0.036363171,0.002139781,1.122504307,0.000593954,,
,,0.064543836,0.002652269,0.050265503,0.001993497,1.328830898,0.000384543,,
,,0.088068149,0.002329985,0.068267227,0.001997537,1.577167972,0.000238355,,
,,0.123094859,0.002001397,0.087227672,0.001916464,1.798020745,0.000162658,,
,,0.160471425,0.001825754,0.119175096,0.001787472,2.087903321,0.000102484,,
,,0.206067538,0.00168285,0.15614876,0.001771413,,,,
,,0.268582851,0.001518776,0.203188019,0.001683649,,,,
,,0.35856908,0.001350071,0.248913471,0.001523579,,,,
,,0.474395207,0.001179771,,,,,,
,,0.567795847,0.001084564,,,,,,
,,0.986936188,0.000836294,,,,,,
,,1.330172117,0.000702171,,,,,,
,,1.485852114,0.000659129,,,,,,
