Data from K&K,,Data from D&K,,Predictions from Kitimaru and Ichimaru,,Theory of Redmer,,Theoretical Predictions from Dharma-Wardana and Perrot,,Data from BSM,
Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm),Density (g/cc),Electrical Resistivity (Ohm-cm)
0.011734084,0.034692044,0.032094451,0.012035379,0.002285692,0.013899855,0.001154164,0.007745255,0.012207344,0.006070695,2.12764501,8.99545E-05
0.01992206,0.025929438,0.037450774,0.014485035,0.003176469,0.012992452,0.00154135,0.00759345,0.016232721,0.00590153,,
0.05006261,0.012195705,0.042946091,0.015272427,0.004282111,0.012217036,0.002038088,0.007610082,0.021610365,0.005750721,,
0.059890199,0.010826367,0.04554836,0.010133212,0.005443354,0.01159443,0.002795446,0.007627645,0.028690244,0.005601212,,
,,0.062518056,0.011721023,0.007045976,0.011009197,0.00371915,0.007694176,0.038348616,0.005430453,,
,,0.076771447,0.01268961,0.009511096,0.010357457,0.005008742,0.007799071,0.049762685,0.005526157,,
,,0.321744474,0.003290345,0.013070012,0.009622639,0.006750937,0.007878229,0.065219047,0.005082813,,
,,0.356411531,0.002959814,0.017629798,0.008801064,0.009010484,0.00794815,0.083649319,0.004590204,,
,,0.387942623,0.002212216,0.022295876,0.008158655,0.011929939,0.007880404,0.111996891,0.004261486,,
,,0.437096158,0.001887392,0.029116507,0.007543426,0.015917651,0.008080856,0.145905749,0.004062856,,
,,0.444459327,0.001610262,0.039414907,0.006427394,0.021242294,0.008177644,0.195620658,0.003868614,,
,,,,0.051240975,0.00553706,0.028534508,0.007758029,0.25959917,0.003677833,,
,,,,0.068857478,0.004942609,0.038640664,0.007725381,0.341310406,0.003136737,,
,,,,0.089803557,0.004452979,0.051808682,0.007191872,0.455576046,0.002712006,,
,,,,0.119221825,0.00404311,0.075055803,0.006635475,0.595651943,0.002129057,,
,,,,0.154201748,0.003539738,0.099295568,0.006240441,0.793257212,0.001656522,,
,,,,0.209828412,0.00293952,0.127668172,0.005789092,1.036804468,0.001210052,,
,,,,0.290140713,0.002605048,0.180689873,0.005207448,1.234037615,0.000847641,,
,,,,0.37521567,0.002359858,0.232220266,0.004481562,1.362739662,0.000525048,,
,,,,0.487110266,0.001718711,0.310367158,0.003652315,1.562832784,0.000322911,,
,,,,0.654288307,0.001241834,0.407961922,0.002858538,1.75847613,0.000204446,,
,,,,0.864340655,0.000900038,0.504392319,0.002430444,1.916405523,0.000127759,,
,,,,1.136289304,0.000769416,0.58971358,0.001866999,2.135067062,8.541E-05,,
,,,,1.44144062,0.000623892,,,2.427681201,5.5869E-05,,
,,,,1.886188431,0.000534549,,,,,,
